Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,77.000000,79.000000,74.800003,78.000000,76.635010,29818912
2020-02-04,78.000000,79.300003,77.349998,79.000000,77.617508,18338944
2020-02-05,79.099998,82.300003,79.099998,80.349998,78.943878,23395561
2020-02-06,80.750000,81.900002,79.550003,80.949997,79.533386,20629194
2020-02-07,81.199997,84.050003,79.800003,83.750000,82.284386,29711890
2020-02-10,83.550003,84.449997,81.900002,82.949997,81.498383,20133624
2020-02-11,83.500000,84.449997,82.599998,82.900002,81.449257,14986558
2020-02-12,83.000000,83.300003,81.050003,81.349998,79.926376,15046483
2020-02-13,77.900002,82.900002,77.900002,81.550003,80.122887,42465314
2020-02-14,81.400002,81.550003,79.699997,80.250000,78.845634,20290024
2020-02-17,80.250000,82.699997,79.599998,81.550003,80.122887,19342729
2020-02-18,81.000000,81.500000,79.150002,80.250000,78.845634,18476820
2020-02-19,80.449997,81.750000,79.750000,81.250000,79.828133,17146555
2020-02-20,81.300003,84.650002,81.199997,84.300003,82.824760,28489436
2020-02-24,83.000000,86.199997,82.599998,84.949997,83.463379,30055176
2020-02-25,85.000000,86.349998,80.099998,80.650002,79.238632,44612516
2020-02-26,80.650002,81.900002,77.599998,77.949997,76.585884,32981809
2020-02-27,77.900002,78.150002,74.750000,76.000000,74.670006,32696106
2020-02-28,73.000000,73.949997,69.500000,69.900002,68.676758,35814841
2020-03-02,71.500000,74.949997,71.050003,73.900002,72.606758,39273874
2020-03-03,74.099998,77.000000,72.650002,75.449997,74.129631,23998122
2020-03-04,76.250000,76.250000,70.800003,72.449997,71.182129,28071315
2020-03-05,73.050003,74.099998,70.849998,71.800003,70.543510,33516020
2020-03-06,68.949997,71.800003,66.199997,71.199997,69.954010,21046275
2020-03-09,68.050003,71.349998,67.800003,68.849998,67.645126,22970003
2020-03-11,69.199997,70.099998,67.949997,68.550003,67.350380,22236883
2020-03-12,65.000000,65.349998,60.549999,63.299999,62.192253,29550762
2020-03-13,57.000000,68.500000,52.000000,66.699997,65.532753,28001145
2020-03-16,62.200001,66.000000,62.000000,63.349998,62.241379,17219253
2020-03-17,63.500000,66.050003,61.900002,64.150002,63.027378,19650731
2020-03-18,65.400002,65.900002,63.000000,64.250000,63.125629,18055664
2020-03-19,57.400002,57.400002,47.099998,48.049999,47.579395,83214004
2020-03-20,49.200001,49.400002,41.099998,43.950001,43.519550,96048135
2020-03-23,40.000000,42.650002,34.000000,36.049999,35.696922,62112584
2020-03-24,35.750000,41.450001,35.150002,35.549999,35.201824,58887725
2020-03-25,35.750000,36.500000,33.700001,34.450001,34.112595,57152693
2020-03-26,35.450001,44.500000,33.799999,42.849998,42.430325,100752167
2020-03-27,46.500000,51.349998,41.500000,43.299999,42.875916,80011929
2020-03-30,41.250000,43.200001,40.599998,42.349998,41.935219,31795934
2020-03-31,44.549999,44.650002,41.650002,43.049999,42.628365,32633949
2020-04-01,43.049999,44.200001,40.099998,41.099998,40.697464,37099293
2020-04-03,41.099998,41.150002,38.000000,38.150002,37.776360,37555393
2020-04-07,40.000000,40.750000,37.299999,39.849998,39.459705,49169938
2020-04-08,39.849998,47.799999,38.750000,43.849998,43.420528,76817308
2020-04-09,45.000000,46.000000,44.049999,45.650002,45.202904,39546560
2020-04-13,45.700001,47.099998,44.500000,46.049999,45.598984,41848804
2020-04-15,46.500000,51.299999,46.299999,46.700001,46.242622,60309127
2020-04-16,46.150002,47.849998,45.549999,46.950001,46.490170,29831447
2020-04-17,49.400002,49.500000,47.700001,48.900002,48.421074,27584065
2020-04-20,49.450001,49.900002,47.450001,47.900002,47.430866,38050060
2020-04-21,45.150002,46.150002,43.900002,44.099998,43.668079,23738147
