Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,1101.000000,1137.800049,1101.000000,1111.000000,1082.265259,1192256
2020-01-24,1113.900024,1121.250000,1099.000000,1105.650024,1077.053833,435266
2020-01-27,1101.000000,1110.500000,1069.000000,1074.400024,1046.611816,456809
2020-01-28,1079.800049,1092.849976,1070.449951,1081.050049,1053.090088,431273
2020-01-29,1086.400024,1103.000000,1075.800049,1084.250000,1056.207275,402633
2020-01-30,1085.000000,1094.949951,1075.000000,1086.599976,1058.496460,433616
2020-01-31,1086.500000,1097.000000,1061.750000,1069.849976,1042.179565,271802
2020-02-03,1048.500000,1086.650024,1033.250000,1081.800049,1053.820557,404216
2020-02-04,1082.050049,1137.400024,1082.050049,1126.150024,1097.023560,1348044
2020-02-05,1129.000000,1140.949951,1092.199951,1100.449951,1071.988281,961174
2020-02-06,1107.000000,1119.199951,1084.599976,1101.500000,1073.010986,539743
2020-02-07,1101.500000,1118.400024,1091.000000,1101.050049,1072.572876,404348
2020-02-10,1101.500000,1113.849976,1093.750000,1108.150024,1079.489014,395627
2020-02-11,1108.000000,1149.000000,1100.000000,1137.150024,1107.739014,1233908
2020-02-12,1148.500000,1162.800049,1141.750000,1145.699951,1116.068115,1150236
2020-02-13,1150.000000,1154.599976,1135.150024,1149.150024,1119.428711,468766
2020-02-14,1150.000000,1161.900024,1135.500000,1157.050049,1127.124390,645397
2020-02-17,1175.000000,1285.000000,1174.849976,1277.150024,1244.118042,5291533
2020-02-18,1265.000000,1276.650024,1229.050049,1238.400024,1206.370361,2575687
2020-02-19,1235.000000,1272.000000,1227.250000,1264.349976,1231.649048,1460942
2020-02-20,1261.000000,1297.949951,1252.099976,1266.699951,1233.938232,1194841
2020-02-24,1246.900024,1251.599976,1220.000000,1227.550049,1211.098633,697178
2020-02-25,1226.000000,1241.949951,1204.900024,1212.000000,1195.757080,836716
2020-02-26,1200.000000,1210.000000,1181.150024,1186.300049,1170.401489,955428
2020-02-27,1186.000000,1190.500000,1155.000000,1173.400024,1157.674316,1239718
2020-02-28,1140.000000,1145.000000,1087.800049,1096.400024,1081.706299,920255
2020-03-02,1100.400024,1155.650024,1051.349976,1069.599976,1055.265381,1821480
2020-03-03,1092.000000,1152.000000,1066.849976,1116.599976,1101.635376,1032435
2020-03-04,1110.000000,1127.750000,1076.699951,1108.449951,1093.594727,830587
2020-03-05,1115.300049,1135.000000,1092.550049,1099.250000,1084.518188,529835
2020-03-06,1045.199951,1101.150024,1045.199951,1094.050049,1079.387939,698303
2020-03-09,1051.000000,1082.000000,1020.000000,1066.849976,1052.552124,690827
2020-03-11,1065.000000,1085.699951,1034.250000,1038.650024,1024.730347,706053
2020-03-12,1008.549988,1008.549988,918.750000,976.950012,963.857117,1260983
2020-03-13,890.000000,1045.000000,881.000000,1017.900024,1004.258301,846054
2020-03-16,984.000000,984.000000,875.099976,883.200012,871.363525,1316588
2020-03-17,905.000000,932.750000,867.099976,879.349976,867.565063,802102
2020-03-18,897.799988,899.650024,800.000000,829.500000,818.383240,1270381
2020-03-19,786.000000,809.700012,750.000000,760.900024,750.702637,975034
2020-03-20,760.000000,855.000000,733.349976,823.250000,812.216980,1057082
2020-03-23,760.000000,769.349976,679.000000,701.150024,691.753296,410538
2020-03-24,770.000000,806.299988,694.049988,747.099976,737.087463,890770
2020-03-25,749.799988,859.150024,700.000000,852.000000,840.581604,1235111
