Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,865.950012,873.000000,856.549988,861.099976,855.241333,60336
2020-01-28,861.299988,866.799988,850.000000,860.049988,854.198547,48042
2020-01-29,865.000000,919.000000,860.049988,886.650024,880.617615,207527
2020-01-30,892.000000,898.000000,872.000000,877.799988,871.827820,83415
2020-01-31,885.000000,895.500000,871.450012,873.549988,867.606689,162129
2020-02-03,850.000000,870.900024,844.450012,853.000000,847.196472,165834
2020-02-04,855.400024,898.700012,855.400024,876.150024,870.189026,154422
2020-02-05,876.200012,904.750000,875.099976,885.250000,879.227051,211842
2020-02-06,887.900024,899.000000,880.000000,892.299988,886.229065,120458
2020-02-07,882.099976,904.000000,881.849976,888.299988,882.256287,238750
2020-02-10,886.000000,916.400024,885.049988,902.299988,896.161011,126802
2020-02-11,908.000000,908.150024,883.000000,898.150024,892.039307,128276
2020-02-12,900.000000,900.000000,888.250000,891.549988,885.484131,165679
2020-02-13,890.000000,897.000000,871.250000,874.349976,868.401184,91466
2020-02-14,875.000000,878.099976,850.049988,852.799988,846.997864,95605
2020-02-17,864.000000,873.049988,855.099976,864.799988,860.935242,35847
2020-02-18,860.000000,861.700012,837.000000,840.099976,836.345703,77193
2020-02-19,850.099976,890.599976,850.099976,867.700012,863.822327,153192
2020-02-20,869.400024,888.799988,862.299988,869.049988,865.166260,172893
2020-02-24,869.000000,869.900024,828.750000,837.950012,834.205322,64573
2020-02-25,842.450012,849.700012,810.549988,815.650024,812.004944,157696
2020-02-26,805.000000,825.000000,800.000000,802.299988,798.714600,100626
2020-02-27,801.000000,812.549988,794.450012,799.000000,795.429321,133490
2020-02-28,790.000000,799.000000,765.000000,782.099976,778.604797,139239
2020-03-02,799.000000,808.849976,751.000000,763.349976,759.938599,125568
2020-03-03,778.599976,778.599976,740.299988,750.700012,747.345215,117185
2020-03-04,757.549988,763.150024,711.799988,728.849976,725.592834,43542
2020-03-05,730.250000,749.000000,723.049988,745.750000,742.417297,168093
2020-03-06,720.000000,749.950012,712.049988,744.700012,741.372009,84204
2020-03-09,741.500000,752.599976,704.799988,744.400024,741.073303,155524
2020-03-11,744.400024,759.150024,720.200012,726.849976,723.601746,62211
2020-03-12,690.200012,714.700012,608.849976,637.849976,634.999512,321374
2020-03-13,542.000000,669.950012,542.000000,623.599976,620.813171,408495
2020-03-16,610.000000,644.799988,575.000000,584.599976,581.987427,198930
2020-03-17,585.200012,611.950012,538.349976,547.599976,545.152832,124677
2020-03-18,548.049988,582.599976,520.049988,525.849976,523.499939,665817
2020-03-19,505.000000,519.400024,484.450012,487.549988,485.371185,282077
2020-03-20,488.100006,520.000000,488.100006,511.100006,508.815948,198998
2020-03-23,488.000000,505.000000,408.899994,408.899994,407.072662,293457
2020-03-24,412.000000,449.750000,402.700012,432.350006,430.417877,461050
2020-03-25,410.000000,453.000000,410.000000,442.299988,440.323395,99423
