Date,Open,High,Low,Close,Adj Close,Volume
2020-01-17,1899.449951,1913.849976,1892.050049,1903.349976,1881.541138,362279
2020-01-20,1905.000000,1926.400024,1887.099976,1892.000000,1870.321167,420979
2020-01-21,1892.000000,1900.900024,1868.000000,1870.800049,1849.364136,393410
2020-01-22,1872.099976,1890.650024,1843.949951,1855.150024,1833.893433,460611
2020-01-23,1855.000000,1902.400024,1853.000000,1897.449951,1875.708740,294035
2020-01-24,1896.500000,1914.699951,1885.099976,1910.500000,1888.609253,200949
2020-01-27,1910.000000,1935.000000,1893.699951,1918.349976,1896.369263,434503
2020-01-28,1918.349976,1951.800049,1903.150024,1946.750000,1924.443848,527383
2020-01-29,1956.000000,1994.400024,1936.050049,1961.300049,1938.827271,829522
2020-01-30,1961.500000,1975.000000,1935.750000,1959.150024,1936.701782,350522
2020-01-31,1969.000000,1984.000000,1948.000000,1952.300049,1929.930420,322232
2020-02-03,1994.900024,2022.000000,1962.400024,1972.750000,1950.145996,910769
2020-02-04,1979.000000,1996.949951,1954.199951,1961.300049,1938.827271,565885
2020-02-05,1962.050049,1990.000000,1946.199951,1962.650024,1940.161621,519051
2020-02-06,1950.000000,2079.399902,1930.000000,2023.000000,1999.820190,1730330
2020-02-07,2023.000000,2095.000000,2011.000000,2085.949951,2062.048828,890175
2020-02-10,2085.000000,2112.449951,2076.149902,2088.949951,2065.014404,628865
2020-02-11,2085.000000,2160.000000,2085.000000,2146.899902,2122.300537,1068378
2020-02-12,2159.000000,2179.949951,2112.000000,2121.800049,2097.488037,984894
2020-02-13,2135.050049,2173.800049,2121.800049,2155.800049,2131.098633,591980
2020-02-14,2169.250000,2190.000000,2135.699951,2146.449951,2121.855469,660382
2020-02-17,2158.000000,2170.000000,2133.600098,2154.850098,2130.159668,243414
2020-02-18,2154.850098,2180.199951,2142.500000,2175.250000,2150.325684,532206
2020-02-19,2170.000000,2195.000000,2155.750000,2185.850098,2160.804199,365113
2020-02-20,2199.500000,2236.399902,2156.850098,2169.350098,2144.493408,578488
2020-02-24,2171.899902,2184.800049,2147.300049,2160.449951,2135.695068,419664
2020-02-25,2152.000000,2165.000000,2093.000000,2116.000000,2107.361328,572634
2020-02-26,2116.000000,2162.949951,2091.100098,2142.100098,2133.354980,578955
2020-02-27,2148.000000,2172.000000,2117.050049,2156.550049,2147.745850,569625
2020-02-28,2140.000000,2149.699951,2087.250000,2106.949951,2098.348389,1076121
2020-03-02,2130.000000,2164.899902,2086.000000,2109.250000,2100.638916,557614
2020-03-03,2124.899902,2210.000000,2063.550049,2183.100098,2174.187500,1399046
2020-03-04,2183.000000,2210.899902,2157.750000,2174.800049,2165.921387,634747
2020-03-05,2175.000000,2239.000000,2175.000000,2223.750000,2214.671631,1094422
2020-03-06,2180.000000,2249.000000,2171.449951,2240.050049,2230.905029,968953
2020-03-09,2240.000000,2258.949951,2137.050049,2181.750000,2172.843018,879424
2020-03-11,2180.800049,2194.750000,2125.050049,2149.199951,2140.425781,573237
2020-03-12,2129.000000,2129.000000,1826.849976,1912.849976,1905.040771,1552639
2020-03-13,1800.000000,1993.400024,1626.000000,1962.699951,1954.687256,962602
2020-03-16,1950.000000,1986.000000,1871.550049,1891.900024,1884.176392,682663
2020-03-17,1892.000000,1963.099976,1872.250000,1895.300049,1887.562500,1300859
2020-03-18,1928.000000,1933.949951,1787.650024,1805.250000,1797.880005,1076620
2020-03-19,1720.000000,1946.449951,1631.050049,1870.949951,1863.311768,1743757
2020-03-20,1875.550049,2017.150024,1864.400024,1994.900024,1986.755859,1881347
2020-03-23,1849.949951,1925.000000,1725.550049,1851.750000,1844.190186,1203381
2020-03-24,1925.000000,1975.000000,1860.500000,1919.949951,1912.111694,1285829
2020-03-25,1900.000000,1974.000000,1881.099976,1928.050049,1920.178833,676624
2020-03-26,1937.349976,1980.000000,1874.000000,1883.300049,1875.611450,596430
2020-03-27,1930.000000,1930.000000,1824.750000,1862.550049,1854.946167,538787
2020-03-30,1851.000000,1929.900024,1832.699951,1893.900024,1886.168213,606185
2020-03-31,1943.000000,2035.000000,1895.000000,1989.050049,1980.929810,937675
2020-04-01,2000.000000,2000.400024,1844.250000,1877.000000,1869.337158,1165088
2020-04-03,1910.000000,1940.000000,1822.949951,1901.050049,1893.289063,1219731
2020-04-07,1960.000000,2150.000000,1921.250000,2067.850098,2059.408203,2241715
2020-04-08,2065.000000,2214.600098,2040.099976,2168.949951,2160.095215,1228880
2020-04-09,2225.000000,2467.600098,2200.250000,2310.899902,2301.465576,2527934
2020-04-13,2385.000000,2421.000000,2285.000000,2341.199951,2331.642090,1782628
2020-04-15,2371.000000,2418.000000,2330.000000,2395.449951,2385.670410,1136701
2020-04-16,2395.399902,2448.500000,2353.800049,2393.199951,2383.429688,1350131
2020-04-17,2430.000000,2449.550049,2320.149902,2332.199951,2322.678711,1326979
2020-04-20,2335.000000,2375.000000,2296.050049,2342.550049,2332.986572,817776
2020-04-21,2295.000000,2474.449951,2295.000000,2406.600098,2396.775146,1365316
2020-04-22,2406.949951,2412.949951,2363.649902,2384.500000,2374.765381,596850
2020-04-23,2388.000000,2454.300049,2376.000000,2417.300049,2407.431396,993530
2020-04-24,2410.000000,2460.000000,2390.600098,2425.399902,2415.498291,894214
2020-04-27,2450.000000,2472.399902,2394.199951,2425.850098,2415.946533,924358
2020-04-28,2445.000000,2445.000000,2349.000000,2363.350098,2353.701660,855492
2020-04-29,2388.000000,2409.000000,2352.000000,2369.850098,2360.175293,635110
2020-04-30,2365.000000,2372.699951,2300.699951,2332.899902,2323.375732,843162
2020-05-04,2226.000000,2343.949951,2226.000000,2287.149902,2277.812500,936799
2020-05-05,2273.199951,2326.000000,2273.199951,2284.250000,2274.924561,609756
2020-05-06,2310.000000,2313.850098,2241.699951,2291.350098,2281.995605,762810
2020-05-07,2280.350098,2310.000000,2227.000000,2258.850098,2249.628418,498471
2020-05-08,2271.000000,2314.850098,2253.100098,2300.800049,2291.406982,641799
2020-05-11,2319.000000,2356.000000,2310.050049,2326.899902,2317.400391,654101
2020-05-12,2330.000000,2374.350098,2303.050049,2363.550049,2353.900879,676613
2020-05-13,2388.000000,2396.899902,2314.000000,2339.500000,2329.948975,538167
2020-05-14,2329.000000,2377.899902,2302.000000,2366.600098,2356.938477,413755
2020-05-15,2376.000000,2413.000000,2327.350098,2335.199951,2325.666504,600190
2020-05-18,2342.000000,2379.000000,2318.399902,2330.199951,2320.687012,600640
2020-05-19,2350.000000,2358.000000,2307.800049,2321.750000,2312.271484,322942
2020-05-20,2325.000000,2376.699951,2311.100098,2372.699951,2363.013428,600994
2020-05-21,2375.000000,2390.500000,2333.300049,2357.350098,2347.726318,317110
2020-05-22,2351.000000,2375.149902,2305.000000,2320.000000,2310.528564,479501
2020-05-26,2339.949951,2344.899902,2287.399902,2295.699951,2286.327637,404978
2020-05-27,2305.000000,2320.000000,2260.000000,2290.399902,2281.049316,720014
2020-05-28,2295.500000,2300.000000,2255.350098,2285.100098,2275.771240,392876
2020-05-29,2285.000000,2408.100098,2262.300049,2390.100098,2380.342529,1000264
2020-06-01,2402.100098,2492.899902,2360.000000,2480.050049,2469.925293,1128386
2020-06-02,2500.000000,2537.949951,2400.000000,2411.000000,2401.156982,1305076
2020-06-03,2420.000000,2442.000000,2367.199951,2382.199951,2372.474609,888450
2020-06-04,2392.000000,2439.000000,2385.000000,2421.149902,2411.265625,704299
2020-06-05,2429.449951,2476.000000,2415.750000,2460.050049,2450.006836,770517
2020-06-08,2472.000000,2472.000000,2337.000000,2413.050049,2403.198730,1943064
2020-06-09,2400.000000,2456.899902,2400.000000,2421.800049,2411.913086,1215283
2020-06-10,2412.000000,2444.000000,2376.000000,2394.649902,2384.873779,702873
2020-06-11,2394.649902,2417.350098,2347.000000,2356.300049,2346.680420,470891
2020-06-12,2310.000000,2400.300049,2302.899902,2395.100098,2385.322021,589371
2020-06-15,2408.949951,2449.600098,2322.449951,2335.050049,2325.517090,1261564
2020-06-16,2352.000000,2365.000000,2285.000000,2320.350098,2310.877197,660650
2020-06-17,2329.050049,2337.850098,2292.300049,2300.100098,2290.709961,699526
2020-06-18,2305.899902,2332.000000,2296.550049,2310.449951,2301.017578,304464
2020-06-19,2318.699951,2330.000000,2286.000000,2304.750000,2295.340820,728257
2020-06-22,2335.000000,2369.000000,2317.000000,2349.250000,2339.659180,445228
2020-06-23,2360.000000,2401.050049,2322.000000,2380.050049,2370.333496,838016
2020-06-24,2395.000000,2412.000000,2331.500000,2341.350098,2331.791504,501579
2020-06-25,2340.550049,2378.000000,2325.350098,2330.449951,2320.935791,316334
2020-06-26,2344.000000,2381.899902,2332.550049,2350.750000,2341.153076,497117
2020-06-29,2359.550049,2368.000000,2308.100098,2316.600098,2307.142578,519075
2020-06-30,2334.949951,2334.949951,2267.000000,2278.899902,2269.596191,684233
2020-07-01,2284.000000,2284.000000,2233.000000,2241.250000,2232.100098,788450
2020-07-02,2100.000000,2242.000000,2090.050049,2196.649902,2187.682129,4392566
2020-07-03,2206.000000,2248.500000,2181.100098,2190.449951,2181.507324,1516409
2020-07-06,2219.899902,2219.899902,2157.000000,2161.100098,2152.277344,932519
2020-07-07,2179.500000,2207.000000,2147.000000,2184.500000,2175.581787,1348625
2020-07-08,2174.000000,2213.000000,2141.050049,2163.500000,2154.667480,1586276
2020-07-09,2171.000000,2193.850098,2153.000000,2176.350098,2167.465088,819353
2020-07-10,2184.350098,2226.600098,2160.000000,2203.100098,2194.105957,1011412
2020-07-13,2220.000000,2240.000000,2197.199951,2235.149902,2226.024902,600585
2020-07-14,2243.500000,2256.600098,2211.300049,2218.149902,2209.094238,811086
