Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,261.950012,264.000000,257.350006,258.950012,254.638641,6096170
2020-01-21,258.000000,258.850006,255.000000,257.100006,252.819443,5387621
2020-01-22,258.399994,261.250000,255.000000,258.100006,253.802811,5476635
2020-01-23,258.100006,262.000000,257.100006,260.700012,256.359497,5101631
2020-01-24,262.000000,265.899994,261.100006,262.850006,258.473724,7257409
2020-01-27,261.500000,264.000000,255.800003,257.100006,252.819443,5577299
2020-01-28,256.000000,261.250000,255.300003,257.649994,253.360275,4763857
2020-01-29,259.000000,261.799988,256.649994,258.600006,254.294479,4977662
2020-01-30,258.600006,258.850006,252.050003,254.649994,250.410233,5549648
2020-01-31,257.799988,262.799988,254.300003,260.450012,256.113678,10810838
2020-02-03,230.000000,233.699997,217.850006,230.850006,227.006500,20842165
2020-02-04,231.399994,247.750000,230.800003,245.250000,241.166733,15797056
2020-02-05,250.149994,255.800003,245.649994,253.449997,249.230209,12352880
2020-02-06,247.000000,254.699997,243.399994,246.300003,242.199265,17929026
2020-02-07,246.000000,246.899994,234.750000,235.800003,231.874069,14050194
2020-02-10,235.300003,236.600006,231.149994,233.800003,229.907379,8120421
2020-02-11,236.000000,237.800003,232.600006,233.850006,229.956543,5475597
2020-02-12,233.899994,235.750000,226.800003,230.850006,228.177383,6806019
2020-02-13,230.550003,232.600006,227.449997,231.350006,228.671600,6913597
2020-02-14,232.399994,234.449997,224.449997,226.199997,223.581223,6757171
2020-02-17,228.399994,229.800003,217.850006,219.399994,216.859940,10788768
2020-02-18,217.199997,219.350006,216.550003,217.949997,215.426727,6678150
2020-02-19,220.699997,228.649994,218.300003,226.899994,224.273102,7405952
2020-02-20,226.899994,228.350006,219.000000,220.100006,217.551834,7654026
2020-02-24,215.000000,219.000000,211.250000,212.500000,210.039825,7761069
2020-02-25,213.000000,219.500000,213.000000,216.750000,214.240616,8778643
2020-02-26,214.850006,217.699997,210.600006,212.449997,209.990402,6037598
2020-02-27,212.000000,212.800003,204.300003,208.699997,206.283813,8839033
2020-02-28,203.500000,204.899994,193.149994,201.699997,199.364853,15083273
2020-03-02,206.000000,213.399994,199.800003,203.850006,201.489975,10400591
2020-03-03,205.000000,212.050003,203.399994,206.800003,204.405823,11084288
2020-03-04,208.050003,210.100006,198.500000,203.949997,201.588806,9357919
