Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,1945.500000,1961.500000,1928.099976,1951.500000,1951.500000,306182
2020-01-28,1944.699951,1958.000000,1922.199951,1930.449951,1930.449951,198741
2020-01-29,1932.000000,1984.250000,1928.000000,1974.650024,1974.650024,481606
2020-01-30,1977.800049,2064.000000,1977.800049,2051.300049,2051.300049,1640477
2020-01-31,2064.050049,2145.050049,2061.000000,2133.949951,2133.949951,1572997
2020-02-03,2084.000000,2157.699951,2081.000000,2131.649902,2131.649902,730661
2020-02-04,2145.000000,2172.899902,2112.000000,2155.300049,2155.300049,601931
2020-02-05,2160.000000,2274.000000,2160.000000,2248.899902,2248.899902,1100397
2020-02-06,2255.000000,2360.000000,2255.000000,2294.350098,2294.350098,1760624
2020-02-07,2295.000000,2330.000000,2270.000000,2287.199951,2287.199951,917281
2020-02-10,2287.199951,2537.449951,2287.199951,2483.649902,2483.649902,2504235
2020-02-11,2480.000000,2480.000000,2381.000000,2394.500000,2394.500000,1890047
2020-02-12,2390.000000,2526.000000,2380.000000,2482.149902,2482.149902,2099102
2020-02-13,2478.000000,2560.000000,2442.800049,2544.149902,2544.149902,2369901
2020-02-14,2440.000000,2499.000000,2373.000000,2408.350098,2408.350098,4717819
2020-02-17,2354.500000,2379.300049,2330.050049,2339.449951,2339.449951,3097697
2020-02-18,2334.949951,2384.600098,2305.050049,2364.899902,2364.899902,2017080
2020-02-19,2385.000000,2437.000000,2372.100098,2424.500000,2424.500000,1759543
2020-02-20,2433.000000,2485.000000,2430.000000,2462.649902,2462.649902,1359803
2020-02-24,2448.800049,2448.800049,2370.000000,2389.699951,2389.699951,651480
2020-02-25,2399.000000,2429.000000,2308.000000,2331.750000,2331.750000,1007451
2020-02-26,2326.850098,2419.000000,2305.050049,2358.399902,2358.399902,1302206
2020-02-27,2347.300049,2370.000000,2310.000000,2319.699951,2319.699951,727447
2020-02-28,2279.899902,2377.350098,2180.000000,2323.949951,2323.949951,1813565
2020-03-02,2335.000000,2340.000000,2220.000000,2228.949951,2228.949951,2050214
2020-03-03,2228.000000,2274.000000,2172.949951,2233.050049,2233.050049,1252459
2020-03-04,2260.000000,2270.000000,2150.000000,2198.449951,2198.449951,443605
2020-03-05,2200.000000,2252.000000,2150.000000,2247.199951,2247.199951,363292
2020-03-06,2174.899902,2250.000000,2136.100098,2242.149902,2242.149902,581223
2020-03-09,2185.000000,2200.000000,2130.050049,2145.699951,2145.699951,461400
2020-03-11,2146.800049,2223.300049,2075.000000,2109.949951,2109.949951,298466
2020-03-12,2049.000000,2049.000000,2004.500000,2004.500000,2004.500000,497643
2020-03-13,1904.300049,2104.699951,1904.300049,2101.000000,2101.000000,1163341
2020-03-16,1995.949951,2095.000000,1995.949951,1996.300049,1996.300049,588564
2020-03-17,1945.000000,2096.100098,1912.000000,2021.949951,2021.949951,609788
