Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,336.850006,342.950012,334.000000,335.750000,322.916718,1185795
2020-01-23,336.600006,338.000000,330.000000,335.799988,322.964783,824544
2020-01-24,337.500000,340.000000,331.250000,336.100006,323.253357,412449
2020-01-27,335.000000,335.250000,321.000000,324.500000,312.096741,324906
2020-01-28,325.950012,327.600006,316.200012,318.399994,306.229858,198018
2020-01-29,320.049988,325.750000,317.399994,319.149994,306.951202,212364
2020-01-30,319.799988,319.799988,298.600006,300.100006,288.629364,754157
2020-01-31,301.899994,306.000000,290.000000,294.700012,283.435791,2557313
2020-02-03,306.000000,307.299988,295.500000,299.799988,288.340790,208344
2020-02-04,296.200012,307.000000,296.200012,300.600006,289.110260,407151
2020-02-05,302.000000,311.350006,301.250000,307.100006,295.361816,622761
2020-02-06,309.899994,325.000000,299.000000,303.200012,291.610840,4146845
2020-02-07,308.000000,311.850006,297.100006,300.299988,288.821686,1778918
2020-02-10,303.000000,304.750000,291.000000,293.250000,282.041199,702344
2020-02-11,295.950012,298.200012,291.200012,293.049988,281.848816,531155
2020-02-12,294.799988,294.799988,287.200012,292.750000,281.560303,632407
2020-02-13,293.299988,293.299988,285.000000,285.850006,274.924042,268002
2020-02-14,287.450012,288.600006,272.250000,275.799988,265.258148,719197
2020-02-17,276.350006,289.750000,275.250000,284.350006,273.481354,536759
2020-02-18,285.149994,285.149994,266.500000,274.049988,263.575043,957214
2020-02-19,275.649994,276.950012,270.149994,272.549988,262.132355,312656
2020-02-20,273.850006,276.250000,268.000000,269.299988,259.006622,601625
2020-02-24,268.000000,271.899994,264.299988,269.299988,259.006622,342578
2020-02-25,269.299988,275.399994,267.100006,269.549988,259.247040,367104
2020-02-26,269.399994,278.500000,264.000000,270.299988,259.968384,479077
2020-02-27,269.100006,270.149994,262.100006,264.350006,254.245789,207447
2020-02-28,260.000000,260.000000,252.250000,256.549988,246.743942,389821
2020-03-02,258.899994,263.250000,255.050003,258.450012,248.571350,292497
2020-03-03,259.899994,263.000000,255.350006,257.000000,247.176758,493583
2020-03-04,258.600006,259.799988,248.000000,250.000000,240.444321,309092
2020-03-05,250.000000,253.350006,242.000000,244.300003,234.962189,921558
2020-03-06,240.000000,244.500000,231.000000,240.350006,231.163177,259373
2020-03-09,236.199997,238.850006,226.199997,229.300003,220.535538,427329
2020-03-11,225.000000,229.949997,220.500000,225.050003,216.447968,409026
2020-03-12,216.100006,219.899994,191.300003,202.800003,195.048416,1324222
2020-03-13,165.100006,218.350006,163.199997,207.050003,199.135986,806071
2020-03-16,206.000000,211.250000,184.800003,194.050003,186.632874,968601
2020-03-17,199.000000,202.649994,192.050003,195.699997,188.219803,2712751
2020-03-18,200.000000,200.000000,187.050003,189.350006,182.112518,676180
2020-03-19,185.000000,198.000000,154.050003,174.050003,167.397354,2534135
2020-03-20,176.000000,197.149994,176.000000,184.199997,177.159378,504465
2020-03-23,176.000000,182.000000,160.000000,163.949997,157.683395,787307
2020-03-24,166.000000,172.199997,145.000000,154.350006,148.450317,428635
2020-03-25,154.800003,164.000000,153.449997,155.149994,149.219742,321419
2020-03-26,157.949997,163.800003,151.699997,159.850006,155.747818,1996385
2020-03-27,160.899994,169.850006,150.000000,156.399994,152.386337,1192835
2020-03-30,152.500000,165.899994,130.949997,161.250000,157.111877,1540055
2020-03-31,165.350006,173.399994,162.100006,169.949997,165.588608,1816932
2020-04-01,171.000000,179.300003,164.050003,171.449997,167.050110,1298928
2020-04-03,175.000000,184.000000,167.199997,181.949997,177.280670,737889
2020-04-07,185.600006,209.699997,182.750000,207.199997,201.882660,807472
2020-04-08,206.500000,228.000000,200.300003,222.449997,216.741318,1372921
2020-04-09,223.000000,237.899994,223.000000,230.250000,224.341141,952304
2020-04-13,233.000000,235.949997,219.000000,226.850006,221.028397,396317
2020-04-15,230.000000,232.500000,224.000000,226.750000,220.930969,568662
2020-04-16,224.149994,225.000000,219.100006,222.149994,216.449005,180942
2020-04-17,234.000000,234.000000,215.000000,216.300003,210.749130,1703819
2020-04-20,218.399994,219.000000,208.000000,209.699997,204.318512,518100
2020-04-21,205.000000,211.449997,202.550003,205.649994,200.372421,245714
2020-04-22,205.300003,206.899994,199.000000,203.949997,198.716080,434156
2020-04-23,206.000000,215.500000,204.199997,205.750000,200.469864,471670
2020-04-24,206.000000,206.250000,197.000000,198.600006,193.503372,614757
2020-04-27,200.000000,205.850006,198.050003,200.050003,194.916153,642867
2020-04-28,202.000000,202.949997,198.000000,198.850006,193.746964,126048
2020-04-29,200.899994,200.899994,195.300003,195.899994,190.872650,1020913
2020-04-30,197.899994,201.000000,192.500000,194.649994,189.654724,1531896
2020-05-04,191.300003,193.000000,187.649994,188.750000,183.906143,203038
2020-05-05,189.899994,191.800003,184.050003,186.300003,181.519028,178940
2020-05-06,186.300003,187.850006,179.350006,180.350006,175.721725,334711
2020-05-07,178.100006,180.850006,175.550003,176.949997,172.408966,285434
2020-05-08,178.100006,185.449997,178.000000,181.649994,176.988358,585356
2020-05-11,184.899994,199.250000,168.850006,181.300003,176.647339,898984
2020-05-12,186.899994,188.000000,175.500000,182.250000,177.572968,450778
2020-05-13,185.500000,186.899994,178.600006,183.100006,178.401138,1831624
2020-05-14,179.000000,185.000000,178.600006,183.350006,178.644730,512465
2020-05-15,184.899994,193.699997,182.050003,190.949997,186.049683,1007578
2020-05-18,192.000000,194.000000,184.750000,190.149994,185.270218,490758
2020-05-19,190.000000,204.000000,187.350006,199.699997,194.575150,899373
2020-05-20,199.699997,205.500000,195.199997,204.600006,199.349396,755143
2020-05-21,204.899994,213.550003,202.250000,209.500000,204.123642,768210
2020-05-22,209.399994,213.000000,207.300003,209.649994,204.269791,1899741
2020-05-26,214.000000,214.000000,203.899994,206.399994,201.103180,414471
2020-05-27,206.000000,206.050003,195.100006,195.699997,190.677780,406946
2020-05-28,196.899994,197.300003,190.050003,191.750000,186.829163,462995
2020-05-29,192.000000,196.949997,189.600006,194.850006,189.849594,2576254
2020-06-01,194.850006,197.550003,193.199997,194.500000,189.508591,450495
2020-06-02,194.899994,195.699997,191.800003,192.449997,187.511200,317533
2020-06-03,193.250000,194.949997,188.600006,189.800003,184.929214,2116411
2020-06-04,191.000000,191.800003,185.600006,186.149994,181.372849,312448
2020-06-05,186.050003,199.000000,186.050003,197.250000,192.188019,1797201
2020-06-08,208.000000,209.800003,200.000000,204.550003,199.300690,1864878
2020-06-09,207.899994,207.949997,201.050003,202.300003,197.108414,597416
2020-06-10,203.899994,205.000000,196.300003,201.000000,195.841782,354989
2020-06-11,199.500000,200.449997,192.000000,193.000000,188.047089,256028
2020-06-12,187.000000,204.899994,184.149994,203.100006,197.887894,698228
2020-06-15,203.000000,203.000000,193.350006,195.050003,190.044464,401348
2020-06-16,197.250000,199.850006,190.100006,193.500000,188.534256,251426
2020-06-17,192.850006,200.000000,190.000000,199.050003,193.941818,298794
2020-06-18,200.050003,204.850006,198.199997,200.550003,195.403320,655726
2020-06-19,202.000000,206.500000,199.000000,201.699997,196.523819,925425
2020-06-22,202.699997,206.000000,201.399994,203.750000,198.521210,1500944
2020-06-23,203.949997,229.500000,203.949997,224.750000,218.982285,3081878
2020-06-24,226.449997,229.000000,214.500000,218.899994,213.282394,1285318
2020-06-25,216.899994,224.000000,212.949997,220.550003,214.890060,951083
2020-06-26,223.050003,233.449997,214.199997,220.949997,215.279800,2740475
