Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,270.950012,273.899994,265.399994,271.649994,269.698029,1161488
2020-01-21,270.950012,278.250000,269.250000,276.450012,274.463562,921565
2020-01-22,278.100006,282.000000,273.049988,280.700012,278.683044,828889
2020-01-23,282.000000,291.600006,279.299988,290.649994,288.561493,1440061
2020-01-24,292.799988,298.000000,290.399994,294.450012,292.334229,1991261
2020-01-27,294.500000,304.799988,294.500000,302.250000,300.078186,1205880
2020-01-28,304.649994,307.950012,286.000000,291.149994,289.057922,1743701
2020-01-29,293.700012,298.799988,288.100006,294.899994,292.780975,970493
2020-01-30,296.649994,296.649994,285.799988,288.299988,286.228394,575832
2020-01-31,291.000000,293.899994,285.200012,288.299988,286.228394,695332
2020-02-03,280.549988,284.299988,280.549988,282.899994,280.867188,427994
2020-02-04,285.149994,297.000000,285.149994,292.299988,290.199646,1012878
2020-02-05,295.700012,302.000000,292.549988,296.250000,294.121277,1291280
2020-02-06,300.000000,305.000000,297.000000,302.200012,300.028534,2306538
2020-02-07,309.799988,313.799988,302.700012,304.399994,302.212708,1312485
2020-02-10,306.299988,307.750000,295.250000,299.799988,297.645752,865601
2020-02-11,302.750000,302.750000,291.250000,293.149994,291.043549,732512
2020-02-12,296.850006,303.100006,294.700012,301.549988,299.383179,911453
2020-02-13,303.000000,308.000000,295.250000,297.399994,295.263000,1142789
2020-02-14,298.000000,301.200012,296.450012,299.600006,297.447205,438421
2020-02-17,300.000000,300.899994,282.049988,285.299988,283.249939,753958
2020-02-18,285.899994,289.649994,277.200012,286.250000,284.193146,1294394
2020-02-19,288.299988,291.750000,282.000000,287.549988,285.483765,787170
2020-02-20,287.500000,289.649994,285.750000,287.450012,285.384552,1023523
2020-02-24,286.799988,286.799988,282.049988,285.049988,283.001770,1238802
2020-02-25,286.000000,293.450012,282.200012,289.950012,287.866547,1039152
2020-02-26,291.649994,292.700012,282.549988,284.500000,282.455719,1085650
2020-02-27,284.950012,288.850006,266.649994,286.350006,284.292419,1250988
2020-02-28,272.000000,282.250000,271.000000,276.100006,274.116089,591787
2020-03-02,276.100006,286.149994,275.000000,278.799988,276.796661,1019563
2020-03-03,278.250000,291.299988,278.250000,289.350006,287.270844,861926
2020-03-04,290.950012,293.250000,278.000000,290.000000,287.916168,681263
2020-03-05,290.000000,299.200012,282.049988,289.000000,286.923370,907979
2020-03-06,277.899994,287.700012,274.000000,284.250000,282.207520,392220
2020-03-09,285.000000,285.899994,264.000000,277.649994,275.654938,1576217
2020-03-11,274.100006,286.700012,274.100006,276.450012,274.463562,1896056
2020-03-12,263.000000,270.250000,250.000000,261.000000,259.124573,1452268
2020-03-13,242.800003,285.899994,225.000000,258.299988,256.443970,1603163
2020-03-16,257.000000,275.000000,248.000000,260.299988,258.429596,1535707
2020-03-17,250.000000,259.600006,244.949997,250.949997,249.146790,2302434
2020-03-18,252.100006,257.649994,232.399994,236.600006,234.899902,1033186
2020-03-19,226.600006,234.649994,215.500000,229.500000,227.850922,1346393
2020-03-20,231.000000,245.000000,225.050003,241.800003,240.062546,765786
