Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,46.900002,47.000000,45.700001,45.849998,45.721207,651813
2020-01-21,45.400002,45.700001,44.950001,45.049999,44.923454,622211
2020-01-22,45.299999,45.650002,44.500000,44.599998,44.474716,586745
2020-01-23,44.700001,45.650002,44.500000,45.049999,44.923454,764710
2020-01-24,45.250000,47.299999,44.750000,46.750000,46.618679,1329254
2020-01-27,46.400002,46.500000,44.799999,44.950001,44.823738,783809
2020-01-28,44.900002,45.349998,43.299999,43.900002,43.776688,710336
2020-01-29,45.000000,45.099998,43.900002,44.250000,44.125702,528734
2020-01-30,44.349998,44.400002,42.900002,43.400002,43.278091,538431
2020-01-31,43.650002,43.900002,42.299999,42.450001,42.330761,524534
2020-02-03,40.599998,41.200001,39.750000,40.200001,40.087078,834534
2020-02-04,40.700001,42.500000,40.450001,42.049999,41.931881,973389
2020-02-05,42.400002,43.549999,42.049999,43.250000,43.128510,706380
2020-02-06,43.549999,44.299999,42.400002,42.599998,42.480335,747080
2020-02-07,42.700001,43.150002,41.799999,42.150002,42.031601,580878
2020-02-10,42.099998,42.250000,41.099998,41.599998,41.483143,444902
2020-02-11,41.599998,43.400002,41.099998,41.549999,41.433285,998194
2020-02-12,41.750000,43.150002,41.650002,41.950001,41.832165,1065979
2020-02-13,41.950001,41.950001,40.900002,41.349998,41.233849,426106
2020-02-14,38.900002,39.099998,37.750000,38.000000,37.893257,1896231
2020-02-17,38.200001,38.250000,35.549999,35.900002,35.799160,876239
2020-02-18,35.599998,35.599998,34.549999,35.099998,35.001404,822581
2020-02-19,35.650002,36.450001,35.099998,36.099998,35.998592,677061
2020-02-20,36.099998,37.349998,35.700001,36.549999,36.447330,571600
2020-02-24,36.500000,36.500000,34.599998,34.900002,34.801968,598255
2020-02-25,34.500000,35.500000,34.400002,35.000000,34.901684,382908
2020-02-26,34.799999,35.000000,33.799999,34.250000,34.153793,551075
2020-02-27,34.049999,34.049999,33.049999,33.500000,33.405899,434638
2020-02-28,32.450001,32.750000,31.100000,31.350000,31.261938,719501
2020-03-02,31.950001,32.450001,29.500000,29.950001,29.865871,546035
2020-03-03,30.650000,30.950001,29.750000,30.700001,30.613766,664930
2020-03-04,30.900000,30.950001,28.700001,29.549999,29.466993,878746
2020-03-05,30.000000,30.750000,29.750000,30.500000,30.414326,517061
2020-03-06,28.250000,29.500000,28.250000,29.100000,29.018259,702303
2020-03-09,28.000000,28.500000,26.750000,27.700001,27.622192,885075
2020-03-11,27.700001,28.350000,26.750000,28.000000,27.921349,614183
2020-03-12,27.299999,27.299999,23.299999,24.400000,24.331461,1232642
2020-03-13,23.000000,26.350000,19.650000,26.000000,25.926966,1415093
2020-03-16,24.100000,24.799999,23.500000,23.650000,23.583567,822738
2020-03-17,24.650000,24.650000,23.000000,23.049999,22.985252,660386
2020-03-18,23.299999,23.850000,21.299999,22.549999,22.486656,849601
2020-03-19,21.000000,22.250000,20.299999,21.299999,21.240168,953064
2020-03-20,21.450001,23.750000,21.299999,22.750000,22.686096,995895
2020-03-23,21.000000,21.600000,18.299999,20.000000,19.943821,804221
2020-03-24,21.500000,21.500000,18.250000,18.650000,18.597612,787813
2020-03-25,18.350000,20.250000,18.350000,20.049999,19.993679,571442
2020-03-26,20.000000,21.299999,19.850000,20.299999,20.242977,833391
2020-03-27,20.850000,22.200001,20.549999,20.850000,20.791433,960632
2020-03-30,20.400000,20.799999,19.400000,20.150000,20.093399,405839
2020-03-31,21.100000,21.700001,20.799999,21.299999,21.240168,761748
2020-04-01,21.900000,22.500000,21.299999,21.600000,21.539326,502667
2020-04-03,21.500000,22.500000,20.700001,21.600000,21.539326,534619
2020-04-07,22.200001,23.500000,22.049999,23.299999,23.234550,769453
2020-04-08,23.150000,26.000000,23.000000,23.900000,23.832865,828468
2020-04-09,24.150000,24.950001,24.100000,24.750000,24.680477,633363
2020-04-13,25.000000,25.850000,23.799999,25.150000,25.079353,583128
2020-04-15,25.400000,27.250000,25.200001,25.700001,25.627810,1084057
2020-04-16,25.900000,26.700001,25.500000,26.400000,26.325842,469034
2020-04-17,27.500000,27.799999,26.650000,27.400000,27.323034,1062308
2020-04-20,27.799999,28.299999,26.750000,27.100000,27.023876,938619
2020-04-21,26.600000,26.650000,24.799999,25.400000,25.328651,669560
2020-04-22,25.250000,26.100000,24.700001,25.500000,25.428371,460572
2020-04-23,25.600000,26.600000,25.600000,26.150000,26.076544,494673
2020-04-24,26.700001,26.900000,25.500000,25.700001,25.627810,725221
