Date,Open,High,Low,Close,Adj Close,Volume
2020-01-17,454.000000,479.399994,452.250000,469.100006,463.056915,6428299
2020-01-20,470.149994,475.000000,464.000000,468.700012,462.662079,2512486
2020-01-21,465.000000,474.899994,464.250000,472.100006,466.018280,1820857
2020-01-22,475.000000,475.500000,469.000000,472.000000,465.919556,1122490
2020-01-23,470.500000,495.000000,470.500000,490.649994,484.329315,5368896
2020-01-24,489.000000,498.950012,488.500000,496.350006,489.955872,2310925
2020-01-27,495.200012,508.950012,493.200012,505.850006,499.333496,4178103
2020-01-28,504.850006,517.849976,500.399994,514.750000,508.118835,4045280
2020-01-29,514.000000,515.549988,506.549988,511.600006,505.009430,2641641
2020-01-30,510.000000,521.349976,503.649994,517.549988,510.882721,3260261
2020-01-31,516.400024,520.099976,504.350006,507.500000,500.962219,2183118
2020-02-03,504.899994,511.899994,502.299988,509.649994,503.084534,1608796
2020-02-04,509.649994,517.950012,507.899994,513.700012,507.082397,3153693
2020-02-05,515.200012,519.750000,509.299988,514.549988,507.921417,1503614
2020-02-06,515.000000,526.900024,514.549988,522.299988,515.571594,2586269
2020-02-07,529.799988,534.200012,503.049988,511.100006,504.515869,6644462
2020-02-10,511.000000,517.099976,503.600006,513.000000,506.391388,2043574
2020-02-11,516.200012,517.299988,506.049988,507.149994,500.616730,1737302
2020-02-12,507.700012,522.299988,507.149994,520.900024,514.189636,3164212
2020-02-13,520.500000,520.500000,494.200012,495.850006,489.462311,5997630
2020-02-14,494.799988,498.600006,486.100006,487.500000,481.219879,4977352
2020-02-17,487.200012,487.200012,465.950012,468.049988,462.020416,5607494
2020-02-18,465.899994,479.700012,461.600006,471.000000,464.932434,6979020
2020-02-19,475.600006,480.600006,469.350006,478.549988,472.385193,2397328
2020-02-20,478.799988,483.450012,462.000000,464.649994,458.664246,3022826
2020-02-24,459.950012,465.350006,451.600006,452.799988,446.966888,3313963
2020-02-25,452.000000,462.950012,448.450012,453.600006,447.756592,2831671
2020-02-26,454.000000,463.500000,451.399994,455.899994,450.026947,3439210
2020-02-27,457.950012,459.950012,448.250000,455.950012,450.076324,2930835
2020-02-28,449.000000,452.549988,433.600006,442.399994,436.700867,3549453
2020-03-02,454.000000,457.799988,429.200012,432.299988,426.730957,2117259
2020-03-03,436.000000,451.000000,436.000000,448.000000,442.228729,3709107
2020-03-04,450.200012,451.950012,430.450012,435.250000,429.642975,4678553
2020-03-05,439.000000,443.600006,434.000000,439.649994,433.986298,1666483
2020-03-06,429.899994,443.950012,422.100006,440.850006,435.170837,1807501
2020-03-09,432.350006,435.950012,407.700012,417.700012,412.319061,3099096
2020-03-11,417.399994,421.000000,408.750000,416.799988,411.430634,1987948
2020-03-12,397.000000,402.649994,385.250000,388.350006,383.347168,3463039
2020-03-13,349.549988,429.799988,349.549988,415.399994,410.048676,4501880
2020-03-16,408.899994,411.750000,386.049988,391.549988,386.505920,3411120
