Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,144.449997,146.100006,141.800003,144.199997,142.900711,865884
2020-01-24,144.000000,145.500000,143.800003,145.100006,143.792603,358719
2020-01-27,145.000000,147.750000,142.800003,143.250000,141.959259,535829
2020-01-28,145.300003,145.300003,139.250000,140.050003,138.788101,1640073
2020-01-29,139.500000,142.350006,139.500000,140.250000,138.986298,613973
2020-01-30,141.000000,142.350006,139.550003,140.699997,139.432251,1779356
2020-01-31,142.949997,143.000000,138.250000,142.300003,141.017822,718940
2020-02-03,138.750000,141.649994,137.550003,140.850006,139.580902,602454
2020-02-04,141.500000,142.500000,139.350006,140.399994,139.134933,1989998
2020-02-05,141.250000,141.500000,139.199997,140.149994,138.887192,585389
2020-02-06,140.199997,142.000000,140.199997,141.550003,140.274582,963024
2020-02-07,142.000000,142.800003,139.399994,140.149994,138.887192,821782
2020-02-10,139.500000,140.500000,137.000000,137.899994,136.657455,899029
2020-02-11,140.000000,140.000000,138.300003,139.000000,137.747559,627531
2020-02-12,139.850006,139.850006,137.600006,137.949997,136.707016,284494
2020-02-13,138.000000,139.100006,132.899994,134.199997,132.990799,1503932
2020-02-14,133.899994,135.000000,132.899994,134.050003,132.842163,789618
2020-02-17,134.449997,135.000000,130.899994,131.550003,130.364685,1703903
2020-02-18,131.000000,132.800003,126.699997,130.899994,129.720535,788349
2020-02-19,132.399994,137.850006,130.600006,137.149994,135.914230,791951
2020-02-20,137.149994,141.800003,134.199997,140.050003,138.788101,1547185
2020-02-24,139.899994,139.899994,137.000000,138.000000,136.756561,1243878
2020-02-25,140.000000,141.000000,138.300003,139.899994,138.639450,1332396
2020-02-26,138.750000,141.199997,138.000000,140.300003,139.035858,2288172
2020-02-27,140.300003,141.350006,136.550003,140.949997,139.679993,850169
2020-02-28,135.250000,137.500000,127.150002,135.000000,133.783600,3877212
2020-03-02,134.149994,138.649994,130.050003,133.850006,132.643967,7551033
2020-03-03,134.000000,135.750000,128.050003,133.000000,131.801620,1732229
2020-03-04,131.399994,132.949997,121.300003,123.849998,122.734070,3318780
2020-03-05,124.500000,125.849998,115.000000,118.949997,117.878220,5905737
2020-03-06,115.000000,122.900002,113.199997,120.900002,119.810646,3251563
2020-03-09,118.699997,118.949997,112.000000,115.349998,114.310654,1363256
2020-03-11,115.000000,115.900002,111.750000,114.099998,113.071915,1807320
2020-03-12,109.349998,117.400002,96.400002,110.099998,109.107956,21657388
2020-03-13,100.050003,116.650002,100.050003,115.150002,114.112457,5726676
2020-03-16,106.199997,110.449997,99.849998,109.150002,108.166519,4693095
2020-03-17,106.000000,109.150002,99.000000,99.750000,98.851219,3316445
2020-03-18,100.349998,102.949997,86.650002,90.050003,89.238625,2058748
2020-03-19,86.500000,87.800003,81.000000,83.550003,82.797188,1877988
2020-03-20,84.000000,92.000000,82.199997,90.599998,89.783661,1149543
2020-03-23,80.000000,85.699997,73.199997,74.650002,73.977379,1638469
2020-03-24,75.500000,80.699997,73.250000,77.150002,76.454849,1044957
2020-03-25,74.000000,81.000000,72.099998,75.550003,74.869270,4363598
2020-03-26,74.599998,82.949997,73.300003,78.250000,77.544945,2721391
2020-03-27,79.000000,81.250000,74.099998,75.900002,75.216118,1146598
2020-03-30,75.900002,77.599998,73.250000,75.199997,74.522415,1474945
2020-03-31,77.000000,77.000000,73.300003,75.000000,74.324219,1441863
2020-04-01,74.500000,76.500000,70.300003,72.000000,71.351250,2806406
2020-04-03,73.800003,73.800003,69.000000,69.349998,68.725128,1324966
2020-04-07,75.000000,75.000000,69.750000,73.900002,73.234131,2760511
2020-04-08,74.900002,80.400002,72.599998,75.050003,74.373779,4302515
2020-04-09,76.000000,77.449997,74.400002,75.349998,74.671066,2068715
2020-04-13,75.000000,75.199997,72.199997,72.449997,71.797195,2620169
2020-04-15,72.199997,84.800003,72.199997,82.250000,81.508896,8202758
2020-04-16,79.000000,83.500000,78.150002,80.699997,79.972862,3276665
2020-04-17,84.000000,85.000000,80.099998,80.500000,79.774666,1368522
2020-04-20,83.800003,84.949997,81.099998,81.400002,80.666557,1316184
2020-04-21,79.949997,80.000000,76.349998,79.599998,78.882774,6219582
