Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,1919.000000,1940.000000,1919.000000,1935.349976,1890.963379,167063
2020-01-24,1925.000000,1975.000000,1922.000000,1960.800049,1915.829834,122603
2020-01-27,1950.000000,1968.500000,1940.000000,1948.050049,1903.372192,75736
2020-01-28,1949.900024,1958.900024,1924.300049,1948.099976,1903.420898,45498
2020-01-29,1955.000000,1965.000000,1942.300049,1958.400024,1913.484741,57942
2020-01-30,1952.000000,1965.000000,1945.000000,1949.800049,1905.082031,66300
2020-01-31,1951.000000,1954.849976,1914.000000,1940.250000,1895.750977,36496
2020-02-03,1970.000000,1986.000000,1920.650024,1956.250000,1911.384033,111165
2020-02-04,1960.900024,1974.000000,1925.000000,1940.650024,1896.141846,69255
2020-02-05,1949.949951,1960.500000,1919.199951,1924.699951,1880.557739,101884
2020-02-06,1927.000000,1949.349976,1901.000000,1913.849976,1869.956543,270273
2020-02-07,1915.000000,1960.000000,1915.000000,1944.650024,1900.050049,113586
2020-02-10,1954.000000,1969.800049,1938.650024,1950.199951,1905.472656,81940
2020-02-11,1964.400024,2008.900024,1927.000000,1996.449951,1950.662109,201195
2020-02-12,2004.900024,2045.000000,1999.349976,2018.800049,1972.499634,254798
2020-02-13,2024.800049,2050.000000,1988.000000,2020.300049,1973.965210,149499
2020-02-14,2037.800049,2048.000000,2020.099976,2032.500000,1985.885254,96950
2020-02-17,2030.000000,2039.949951,1985.000000,1990.800049,1945.141846,87972
2020-02-18,1997.000000,2025.000000,1935.000000,1962.599976,1917.588501,91588
2020-02-19,1974.000000,1989.699951,1951.099976,1965.900024,1920.812744,55627
2020-02-20,1966.050049,2010.000000,1963.250000,2005.949951,1959.944214,71624
2020-02-24,2010.000000,2020.000000,1982.800049,1999.250000,1953.397827,77015
2020-02-25,1992.150024,2012.000000,1985.000000,1997.550049,1951.736938,51801
2020-02-26,1990.050049,2004.000000,1970.000000,1998.400024,1952.567505,61515
2020-02-27,1997.900024,1997.900024,1963.849976,1986.199951,1940.647095,37212
2020-02-28,1933.000000,1969.949951,1852.400024,1910.150024,1866.341553,180561
2020-03-02,1901.050049,1947.000000,1877.099976,1906.750000,1863.019287,108079
2020-03-03,1938.000000,1985.000000,1926.050049,1961.099976,1916.122803,82575
2020-03-04,1966.000000,1972.949951,1873.849976,1897.650024,1854.128174,67995
2020-03-05,1896.000000,1919.000000,1880.000000,1892.199951,1848.802979,43705
2020-03-06,1860.000000,1934.949951,1846.000000,1897.500000,1853.981445,91570
2020-03-09,1885.000000,1890.000000,1850.150024,1870.849976,1827.942749,164511
2020-03-11,1870.750000,1900.000000,1712.250000,1772.400024,1731.750610,145952
2020-03-12,1682.250000,1705.000000,1550.000000,1610.400024,1573.466187,198480
2020-03-13,1499.000000,1900.300049,1355.000000,1620.349976,1583.187866,234803
2020-03-16,1588.000000,1588.000000,1494.000000,1527.300049,1492.271851,168799
2020-03-17,1515.000000,1524.349976,1425.000000,1490.650024,1456.462524,163058
2020-03-18,1505.500000,1560.000000,1360.000000,1376.449951,1344.881470,216453
2020-03-19,1326.000000,1414.000000,1210.000000,1362.000000,1330.763062,226828
2020-03-20,1350.000000,1600.000000,1311.699951,1511.449951,1476.785278,275061
2020-03-23,1240.000000,1490.000000,1228.000000,1293.099976,1263.443237,116594
2020-03-24,1330.000000,1405.000000,1273.150024,1386.599976,1354.798706,83425
2020-03-25,1382.000000,1440.000000,1302.500000,1421.800049,1389.191772,151453
2020-03-26,1440.000000,1510.000000,1375.000000,1428.250000,1395.493652,147627
2020-03-27,1440.000000,1479.000000,1380.000000,1393.849976,1361.882690,78304
2020-03-30,1365.800049,1399.050049,1340.099976,1343.949951,1313.126831,90379
