Date,Open,High,Low,Close,Adj Close,Volume
2020-01-16,1102.000000,1148.000000,1094.000000,1125.650024,1062.531250,3794668
2020-01-17,1124.000000,1172.949951,1110.699951,1136.949951,1073.197510,2530053
2020-01-20,1141.000000,1169.900024,1131.150024,1134.699951,1071.073730,1483104
2020-01-21,1125.000000,1161.000000,1125.000000,1146.300049,1082.023315,1018999
2020-01-22,1160.000000,1165.000000,1131.349976,1140.650024,1076.690063,907437
2020-01-23,1143.000000,1183.900024,1136.150024,1179.750000,1113.597656,1923129
2020-01-24,1181.949951,1198.000000,1175.099976,1181.550049,1115.296753,1018094
2020-01-27,1180.949951,1206.650024,1178.000000,1185.750000,1119.261353,968841
2020-01-28,1179.000000,1241.000000,1179.000000,1228.800049,1159.897339,1751440
2020-01-29,1237.000000,1245.000000,1220.000000,1226.449951,1157.678833,1126829
2020-01-30,1227.000000,1246.199951,1208.150024,1236.900024,1167.542969,1068514
2020-01-31,1239.900024,1242.349976,1170.000000,1173.550049,1107.745361,1351299
2020-02-03,1161.000000,1178.900024,1151.199951,1165.050049,1099.722046,551834
2020-02-04,1170.000000,1209.900024,1170.000000,1199.849976,1132.570435,889718
2020-02-05,1205.000000,1214.250000,1186.150024,1191.650024,1124.830322,438451
2020-02-06,1200.000000,1213.900024,1183.849976,1190.900024,1124.122437,565554
2020-02-07,1198.250000,1214.900024,1182.550049,1198.500000,1131.296143,925426
2020-02-10,1175.000000,1212.000000,1155.000000,1195.449951,1128.417114,1219428
2020-02-11,1203.500000,1204.400024,1168.750000,1174.150024,1108.311768,688930
2020-02-12,1189.000000,1233.800049,1175.099976,1224.300049,1155.649658,1448109
2020-02-13,1223.949951,1234.400024,1171.900024,1191.099976,1124.311035,2146732
2020-02-14,1185.000000,1194.449951,1157.000000,1160.949951,1095.851807,868857
2020-02-17,1167.000000,1168.000000,1130.000000,1134.199951,1070.601563,799669
2020-02-18,1134.000000,1174.000000,1117.349976,1138.000000,1074.188721,1526981
2020-02-19,1150.900024,1164.400024,1121.949951,1137.750000,1073.952637,801261
2020-02-20,1148.000000,1153.000000,1123.150024,1127.599976,1064.371826,731297
2020-02-24,1119.000000,1132.849976,1095.800049,1101.500000,1039.735107,636816
2020-02-25,1101.900024,1109.900024,1080.199951,1099.550049,1037.894653,771325
2020-02-26,1094.000000,1107.000000,1071.099976,1075.349976,1015.051697,636854
2020-02-27,1082.000000,1088.800049,1051.750000,1062.050049,1002.497375,570114
2020-02-28,1049.000000,1049.000000,995.000000,1005.299988,948.929504,1230192
2020-03-02,1020.000000,1032.599976,993.000000,1000.450012,944.351501,577674
2020-03-03,1010.000000,1069.000000,1010.000000,1033.500000,975.548340,1896743
2020-03-04,1037.000000,1049.449951,984.000000,1016.250000,959.265625,777129
2020-03-05,1027.599976,1034.050049,1010.000000,1024.050049,966.628235,494916
2020-03-06,952.000000,1007.700012,952.000000,999.000000,951.812683,468282
2020-03-09,980.000000,985.000000,946.000000,963.099976,917.608398,440619
2020-03-11,958.200012,992.450012,958.200012,975.500000,929.422668,615965
2020-03-12,948.000000,951.200012,901.250000,910.250000,867.254761,919508
2020-03-13,840.000000,971.849976,780.549988,939.099976,894.742004,815750
2020-03-16,905.000000,909.950012,854.099976,869.849976,828.763000,637576
2020-03-17,880.000000,887.849976,850.000000,878.000000,836.528076,315359
2020-03-18,881.299988,891.599976,696.299988,746.299988,711.048828,1519481
2020-03-19,700.400024,765.000000,663.900024,747.700012,712.382690,1466599
2020-03-20,757.000000,818.150024,730.000000,792.849976,755.400024,691503
2020-03-23,715.000000,791.599976,692.000000,699.549988,666.507080,407425
2020-03-24,730.000000,753.200012,682.799988,711.250000,677.654419,690508
2020-03-25,700.200012,778.650024,693.950012,743.700012,708.571716,780746
2020-03-26,765.000000,872.700012,758.700012,861.250000,820.569153,1197913
2020-03-27,890.000000,933.099976,801.000000,814.549988,776.075073,1037951
2020-03-30,800.000000,810.000000,778.049988,792.150024,754.733154,403182
2020-03-31,820.000000,829.799988,782.349976,818.450012,779.790894,537529
2020-04-01,819.950012,833.700012,801.099976,814.900024,776.408508,275019
2020-04-03,819.000000,844.450012,801.150024,824.500000,785.555115,696751
2020-04-07,845.000000,885.500000,832.650024,859.500000,818.901855,677242
2020-04-08,862.599976,941.750000,859.500000,890.599976,848.532898,1068870
2020-04-09,917.000000,917.000000,882.200012,898.450012,856.012146,586149
2020-04-13,910.000000,960.000000,872.000000,949.650024,904.793762,985382
2020-04-15,958.950012,968.950012,925.700012,940.950012,896.504639,864910
2020-04-16,939.000000,958.000000,921.000000,939.450012,895.075500,780373
2020-04-17,948.150024,968.400024,941.650024,947.250000,902.507080,1364794
2020-04-20,952.000000,986.849976,945.799988,959.849976,914.511902,882036
2020-04-21,950.000000,959.000000,940.549988,949.549988,904.698364,675268
2020-04-22,942.000000,943.549988,901.549988,932.599976,888.549011,687505
2020-04-23,937.599976,950.000000,908.049988,912.400024,869.303223,660055
2020-04-24,912.000000,936.950012,890.000000,913.049988,869.922424,718412
2020-04-27,927.000000,939.799988,916.049988,925.500000,881.784363,274980
2020-04-28,928.000000,965.500000,924.000000,959.349976,914.035461,678818
2020-04-29,967.700012,990.000000,940.250000,946.200012,901.506653,1211246
2020-04-30,955.000000,978.099976,955.000000,972.750000,926.802612,747775
2020-05-04,932.099976,975.750000,932.099976,941.650024,897.171509,607293
2020-05-05,959.900024,959.900024,905.000000,908.650024,865.730286,574382
2020-05-06,900.500000,922.000000,881.049988,894.250000,852.010437,1458619
2020-05-07,894.250000,907.650024,863.299988,872.650024,831.430786,817562
2020-05-08,880.500000,894.000000,855.599976,859.450012,818.854309,708735
2020-05-11,865.000000,905.000000,862.799988,900.099976,857.584167,1013613
2020-05-12,895.000000,915.150024,877.650024,906.599976,863.777161,421098
2020-05-13,928.900024,928.900024,903.299988,922.099976,878.545044,495952
2020-05-14,922.799988,939.700012,891.299988,902.000000,859.394470,412464
2020-05-15,902.000000,912.950012,887.299988,892.849976,850.676514,330863
2020-05-18,900.099976,900.799988,872.150024,881.700012,840.053223,425603
2020-05-19,886.200012,910.000000,872.400024,888.849976,846.865601,641697
2020-05-20,885.000000,904.150024,880.150024,897.500000,855.106934,483243
2020-05-21,898.000000,916.700012,897.099976,906.950012,864.110657,708799
2020-05-22,906.900024,909.900024,886.349976,894.599976,852.343933,445496
2020-05-26,895.799988,935.000000,894.599976,930.400024,886.453003,704496
2020-05-27,932.000000,949.299988,915.000000,917.700012,874.352844,606882
2020-05-28,919.000000,942.700012,917.000000,924.700012,881.022217,603775
2020-05-29,923.000000,980.049988,919.049988,972.599976,926.659668,1058723
2020-06-01,982.000000,1001.400024,953.349976,961.900024,916.465149,1041860
2020-06-02,967.000000,979.849976,942.500000,966.400024,920.752563,1102110
2020-06-03,971.400024,1024.400024,969.200012,1013.849976,965.961182,1827727
2020-06-04,1048.000000,1058.000000,1015.549988,1024.650024,976.251099,2844770
2020-06-05,1038.250000,1038.250000,1002.000000,1012.650024,964.817932,1165354
2020-06-08,1020.000000,1042.000000,985.099976,988.549988,941.856201,1134082
2020-06-09,998.000000,1013.000000,992.000000,996.849976,949.764221,1133120
2020-06-10,1010.000000,1010.000000,983.000000,993.299988,946.381897,1076796
2020-06-11,995.000000,1048.800049,993.299988,1036.300049,987.350891,2923931
2020-06-12,1004.950012,1087.300049,1001.000000,1074.199951,1023.460632,2261362
2020-06-15,1076.000000,1097.400024,1062.000000,1069.800049,1019.268555,1682066
2020-06-16,1075.000000,1084.599976,1034.800049,1048.849976,999.308105,2181100
2020-06-17,1052.750000,1068.699951,1040.699951,1045.400024,996.020996,720198
2020-06-18,1042.800049,1090.449951,1033.050049,1082.650024,1031.511475,1467632
2020-06-19,1082.650024,1094.599976,1061.000000,1075.650024,1024.842163,1159119
2020-06-22,1077.000000,1089.449951,1050.050049,1053.550049,1003.786133,1168185
2020-06-23,1058.699951,1066.000000,1041.800049,1058.000000,1008.025818,583340
2020-06-24,1067.000000,1112.199951,1047.949951,1062.949951,1012.742065,1605119
2020-06-25,1060.900024,1073.900024,1035.000000,1069.599976,1019.077881,874077
2020-06-26,1084.000000,1092.199951,1071.000000,1077.150024,1026.271362,410500
2020-06-29,1080.000000,1087.000000,1039.000000,1043.650024,994.353699,696422
2020-06-30,1056.000000,1074.000000,1049.150024,1052.099976,1002.404541,656947
2020-07-01,1050.000000,1058.900024,1033.599976,1050.050049,1000.451416,631653
2020-07-02,1055.000000,1062.949951,1046.000000,1047.800049,998.307678,542838
2020-07-03,1058.199951,1079.750000,1049.050049,1071.250000,1020.649963,796618
2020-07-06,1080.000000,1088.150024,1068.599976,1073.550049,1022.841309,460284
2020-07-07,1060.000000,1079.099976,1024.099976,1028.550049,979.966919,1989701
2020-07-08,1028.550049,1032.000000,1001.000000,1007.349976,959.768250,1576167
2020-07-09,1007.900024,1022.450012,996.000000,1012.000000,964.198547,1965498
2020-07-10,1012.000000,1019.000000,963.299988,969.950012,924.134827,1991354
2020-07-13,970.400024,983.400024,962.900024,969.950012,924.134827,685399
2020-07-14,969.950012,992.000000,967.099976,989.500000,942.761414,1431249
2020-07-15,1000.000000,1003.250000,976.349976,980.400024,934.091248,894341
2020-07-16,987.000000,987.000000,959.000000,982.150024,935.758606,722716
2020-07-17,981.000000,1001.599976,974.200012,993.900024,946.953613,1131974
2020-07-20,998.400024,1015.000000,996.049988,1006.650024,959.101379,705362
2020-07-21,1017.000000,1017.000000,985.500000,1001.650024,954.337524,739311
2020-07-22,1000.900024,1013.400024,986.000000,1003.250000,955.861877,510513
2020-07-23,1002.000000,1036.900024,999.000000,1028.050049,979.490540,1565080
2020-07-24,1027.000000,1035.300049,1007.000000,1027.900024,979.347656,573795
2020-07-27,1027.900024,1032.500000,999.799988,1001.900024,954.575684,535914
2020-07-28,1001.900024,1008.900024,990.849976,999.500000,952.289063,563628
2020-07-29,1000.700012,1015.900024,995.349976,1005.849976,958.339111,731289
2020-07-30,1009.900024,1014.250000,985.099976,987.099976,940.474731,402133
2020-07-31,989.200012,992.599976,970.049988,974.450012,928.422302,730836
2020-08-03,970.000000,983.750000,969.000000,972.299988,926.373840,319294
2020-08-04,970.150024,977.400024,962.000000,969.549988,923.753662,667781
2020-08-05,975.000000,991.900024,971.500000,987.250000,940.617737,725875
2020-08-06,991.650024,991.950012,969.500000,984.349976,937.854614,576447
2020-08-07,985.000000,987.549988,959.000000,969.000000,923.229736,775997
2020-08-10,964.000000,970.000000,946.000000,967.900024,922.181641,692507
2020-08-11,980.000000,992.099976,967.549988,971.250000,925.373413,1079422
2020-08-12,971.299988,986.950012,966.099976,981.650024,935.282227,544636
2020-08-13,990.250000,1004.799988,981.000000,983.950012,937.473633,1108782
2020-08-14,984.000000,991.750000,968.000000,971.849976,925.945068,517328
