Date,Open,High,Low,Close,Adj Close,Volume
2020-01-16,906.950012,908.349976,885.000000,889.150024,846.164917,99901
2020-01-17,893.000000,904.500000,882.450012,898.099976,854.682251,85568
2020-01-20,898.099976,901.200012,883.250000,885.900024,843.072083,57759
2020-01-21,883.500000,886.799988,878.000000,880.000000,837.457214,731989
2020-01-22,886.000000,894.000000,880.049988,888.900024,845.927002,289067
2020-01-23,889.000000,914.049988,881.049988,911.099976,867.053772,178428
2020-01-24,915.000000,919.900024,900.150024,908.450012,864.531860,340980
2020-01-27,907.950012,909.450012,886.000000,891.099976,848.020630,56764
2020-01-28,890.000000,927.500000,890.000000,925.500000,880.757629,567745
2020-01-29,933.000000,949.700012,930.299988,936.599976,891.320923,140355
2020-01-30,933.000000,939.349976,911.150024,918.950012,874.524292,43631
2020-01-31,920.000000,932.000000,910.049988,929.849976,884.897278,51751
2020-02-03,920.099976,929.299988,884.000000,893.849976,850.637695,598456
2020-02-04,895.049988,924.599976,895.049988,913.349976,869.194946,82392
2020-02-05,920.000000,923.900024,913.349976,920.950012,876.427551,48743
2020-02-06,923.599976,947.900024,921.700012,942.950012,897.364014,169633
2020-02-07,949.049988,956.950012,918.200012,937.400024,892.082336,1380903
2020-02-10,938.700012,942.650024,925.500000,930.049988,885.087585,193759
2020-02-11,935.200012,938.049988,907.200012,913.299988,869.147400,86789
2020-02-12,918.000000,920.000000,881.000000,889.950012,846.926270,132362
2020-02-13,896.900024,897.549988,884.000000,891.700012,848.591614,81925
2020-02-14,888.000000,911.200012,888.000000,906.750000,862.914001,180005
2020-02-17,913.950012,924.000000,907.000000,916.950012,872.620972,82913
2020-02-18,916.950012,921.000000,886.099976,895.150024,851.874878,115579
2020-02-19,900.000000,912.349976,892.000000,894.900024,851.636963,52228
2020-02-20,896.000000,914.500000,894.099976,900.650024,857.109009,236728
2020-02-24,900.000000,904.950012,885.000000,886.150024,843.309998,30909
2020-02-25,888.000000,894.000000,879.500000,884.349976,841.596985,174600
2020-02-26,882.950012,884.000000,840.000000,851.900024,810.715759,549141
2020-02-27,863.750000,900.900024,851.250000,896.700012,853.349976,258200
2020-02-28,876.700012,892.000000,848.000000,871.549988,829.415771,266548
2020-03-02,876.099976,888.150024,864.450012,876.549988,834.174011,141075
2020-03-03,878.950012,893.549988,862.150024,873.450012,831.223877,551864
2020-03-04,869.099976,869.950012,814.000000,840.000000,799.390991,642750
2020-03-05,853.900024,863.349976,820.099976,831.700012,791.492310,549126
2020-03-06,824.950012,834.000000,810.000000,821.400024,781.690247,149805
2020-03-09,815.049988,818.799988,786.799988,793.099976,754.758362,124146
2020-03-11,798.000000,811.099976,768.849976,778.450012,740.816589,282634
2020-03-12,759.950012,766.450012,720.000000,735.000000,699.467163,597040
2020-03-13,678.000000,774.000000,675.000000,749.799988,713.551636,521938
2020-03-16,741.650024,741.650024,678.000000,691.849976,658.403137,175140
2020-03-17,709.750000,726.000000,655.000000,700.849976,666.968079,3789107
2020-03-18,705.150024,730.000000,679.000000,687.549988,654.311035,125774
2020-03-19,655.000000,700.000000,655.000000,662.150024,630.139038,2652979
2020-03-20,662.150024,706.250000,653.400024,699.150024,665.350281,797592
2020-03-23,676.000000,683.950012,630.000000,642.099976,611.058289,67623
2020-03-24,669.950012,696.500000,638.750000,680.950012,648.030151,126665
2020-03-25,660.000000,759.650024,660.000000,727.299988,692.139343,225930
2020-03-26,712.000000,750.000000,681.799988,689.700012,656.357178,187983
2020-03-27,695.049988,712.349976,669.000000,686.299988,653.121460,430960
2020-03-30,670.900024,670.900024,636.000000,641.400024,610.392151,364225
2020-03-31,651.099976,669.650024,641.299988,664.450012,632.327820,224184
2020-04-01,660.000000,679.799988,646.049988,675.650024,642.986389,100418
2020-04-03,692.950012,748.000000,661.000000,671.599976,639.132080,382268
2020-04-07,690.000000,697.700012,664.900024,670.349976,637.942566,241380
2020-04-08,674.900024,690.000000,670.049988,673.400024,640.845154,150563
2020-04-09,675.000000,699.000000,670.150024,675.599976,642.938721,407257
2020-04-13,676.000000,679.000000,670.299988,670.549988,638.132935,61067
2020-04-15,672.500000,692.650024,668.099976,670.799988,638.370850,358945
2020-04-16,671.000000,702.049988,663.599976,686.650024,653.454590,210174
2020-04-17,694.799988,750.000000,688.200012,726.799988,691.663513,276442
2020-04-20,737.000000,755.000000,707.500000,749.900024,713.646851,662760
2020-04-21,737.500000,758.650024,675.000000,677.799988,645.032410,347109
2020-04-22,677.799988,684.799988,653.000000,673.950012,641.368530,144384
2020-04-23,678.950012,702.200012,666.049988,695.799988,662.162170,173894
2020-04-24,696.799988,696.799988,661.000000,673.650024,641.083069,469620
2020-04-27,679.000000,724.900024,676.549988,698.200012,664.446228,439298
2020-04-28,703.900024,717.000000,700.299988,712.549988,678.102478,158918
2020-04-29,718.000000,724.799988,703.000000,706.299988,672.154602,304525
2020-04-30,714.900024,750.349976,712.000000,728.650024,693.424133,307077
2020-05-04,718.000000,723.500000,692.549988,700.799988,666.920471,743300
2020-05-05,710.000000,733.299988,706.700012,714.549988,680.005737,122534
2020-05-06,710.200012,747.950012,700.799988,742.000000,706.128723,272043
2020-05-07,748.000000,773.950012,747.650024,755.049988,718.547852,340244
2020-05-08,761.099976,763.150024,735.000000,739.900024,704.130249,91859
2020-05-11,743.099976,789.900024,743.099976,777.700012,740.102905,356175
2020-05-12,775.099976,811.549988,752.950012,806.400024,767.415344,376055
2020-05-13,821.000000,829.849976,785.650024,803.000000,764.179749,325267
2020-05-14,825.000000,834.900024,790.099976,803.400024,764.560425,412282
2020-05-15,811.000000,854.000000,811.000000,845.299988,804.434753,669067
2020-05-18,841.000000,865.000000,796.099976,801.299988,762.561890,237027
2020-05-19,818.000000,828.400024,801.500000,820.099976,780.453064,144354
2020-05-20,820.099976,837.000000,818.549988,823.950012,784.116943,83334
2020-05-21,830.000000,849.000000,822.349976,839.250000,798.677246,149762
2020-05-22,838.099976,848.700012,825.950012,839.450012,798.867615,85744
2020-05-26,850.000000,869.650024,842.400024,865.099976,823.277527,692181
2020-05-27,872.000000,888.750000,838.000000,846.599976,805.671936,268756
2020-05-28,849.900024,860.150024,842.450012,845.049988,804.196838,601077
2020-05-29,850.000000,884.799988,840.000000,860.950012,819.328186,402333
2020-06-01,877.650024,879.799988,852.299988,856.650024,815.236145,243840
2020-06-02,865.299988,882.000000,857.000000,876.849976,834.459534,250008
2020-06-03,877.799988,885.000000,870.150024,881.950012,839.312988,237402
2020-06-04,885.450012,891.799988,866.799988,880.349976,837.790344,267939
2020-06-05,880.500000,890.000000,877.000000,880.799988,838.218567,118950
2020-06-08,887.000000,896.000000,872.799988,890.900024,847.830322,219601
2020-06-09,898.000000,904.349976,885.099976,886.599976,843.738159,124442
2020-06-10,885.000000,911.849976,878.099976,895.349976,852.065125,102316
2020-06-11,895.900024,896.049988,853.000000,866.349976,824.467102,123149
2020-06-12,832.000000,865.799988,832.000000,858.700012,817.187012,132465
2020-06-15,864.849976,871.049988,845.099976,857.750000,816.282898,126732
2020-06-16,866.049988,867.000000,838.000000,841.150024,800.485413,145808
2020-06-17,843.000000,845.000000,822.049988,841.549988,800.866028,138894
2020-06-18,841.000000,863.500000,838.049988,858.250000,816.758728,97210
2020-06-19,855.000000,859.450012,833.299988,840.150024,799.533752,261455
2020-06-22,844.599976,853.000000,841.000000,850.150024,809.050293,95805
2020-06-23,851.000000,868.900024,842.250000,855.400024,814.046570,268608
2020-06-24,860.799988,864.500000,853.000000,863.150024,821.421875,133803
2020-06-25,863.150024,877.900024,845.549988,872.450012,830.272278,236818
2020-06-26,882.799988,920.000000,875.099976,892.950012,849.781250,520323
2020-06-29,902.000000,920.000000,887.450012,906.450012,862.628601,193703
2020-06-30,909.799988,909.799988,868.000000,878.750000,836.267700,224685
2020-07-01,877.000000,891.099976,857.500000,882.000000,839.360596,250867
2020-07-02,861.000000,891.000000,855.000000,870.099976,862.252197,224792
2020-07-03,876.799988,890.750000,867.000000,886.599976,878.603394,134569
2020-07-06,888.799988,915.000000,880.299988,910.849976,902.634705,132125
2020-07-07,909.900024,928.000000,893.750000,922.650024,914.328308,323828
2020-07-08,922.700012,924.849976,909.049988,921.400024,913.089600,223364
2020-07-09,921.000000,921.000000,894.900024,903.400024,895.251892,155280
2020-07-10,900.000000,923.000000,885.500000,919.150024,910.859863,237443
2020-07-13,916.549988,934.000000,910.000000,923.650024,915.319275,118826
2020-07-14,923.000000,946.450012,916.150024,933.549988,925.129944,213714
2020-07-15,942.000000,1008.900024,936.099976,994.049988,985.084290,742404
2020-07-16,1029.800049,1099.000000,1010.500000,1031.250000,1021.948792,1519072
2020-07-17,1038.800049,1052.199951,994.000000,997.349976,988.354492,221796
2020-07-20,1018.000000,1024.949951,998.000000,1005.450012,996.381470,428203
2020-07-21,1010.000000,1018.450012,975.000000,978.299988,969.476318,334149
2020-07-22,986.799988,1002.549988,975.099976,995.099976,986.124817,214471
2020-07-23,1003.000000,1003.900024,976.099976,979.599976,970.764587,277231
2020-07-24,1005.000000,1174.900024,1005.000000,1117.000000,1106.925415,4244556
2020-07-27,1115.000000,1208.800049,1080.000000,1126.849976,1116.686523,2672183
2020-07-28,1114.449951,1180.000000,1105.250000,1164.400024,1153.897827,1895132
2020-07-29,1164.400024,1179.949951,1122.050049,1142.050049,1131.749512,686350
2020-07-30,1145.000000,1165.000000,1143.000000,1155.199951,1144.780762,324231
2020-07-31,1163.900024,1177.800049,1143.000000,1157.949951,1147.505981,413624
2020-08-03,1157.949951,1160.000000,1123.050049,1144.599976,1134.276367,407108
2020-08-04,1150.000000,1152.949951,1096.000000,1103.849976,1093.893921,290909
2020-08-05,1114.250000,1152.750000,1107.050049,1137.250000,1126.992676,759413
2020-08-06,1137.250000,1179.500000,1128.000000,1171.750000,1161.181519,472151
2020-08-07,1165.000000,1171.750000,1157.849976,1164.400024,1153.897827,370398
2020-08-10,1175.000000,1202.550049,1163.849976,1180.900024,1170.249023,471683
2020-08-11,1190.000000,1230.000000,1182.150024,1208.599976,1197.699219,430855
2020-08-12,1213.150024,1213.150024,1153.250000,1162.650024,1152.163696,310001
2020-08-13,1175.000000,1212.000000,1175.000000,1200.550049,1189.721802,232416
2020-08-14,1150.000000,1212.000000,1150.000000,1194.300049,1183.528198,147118
2020-08-17,1200.000000,1225.000000,1181.250000,1214.599976,1203.645020,105873
2020-08-18,1211.000000,1213.500000,1189.650024,1197.500000,1186.699341,188671
2020-08-19,1208.000000,1223.550049,1194.949951,1203.400024,1192.546143,158963
2020-08-20,1203.000000,1203.000000,1193.000000,1195.849976,1185.064209,78302
2020-08-21,1210.000000,1215.699951,1195.000000,1199.000000,1188.185791,78780
2020-08-24,1200.000000,1215.000000,1190.000000,1197.949951,1187.145142,259192
2020-08-25,1205.000000,1205.750000,1176.000000,1181.250000,1170.595825,81728
2020-08-26,1180.000000,1214.000000,1175.750000,1200.050049,1189.226318,271842
2020-08-27,1205.000000,1209.900024,1165.199951,1180.599976,1169.951660,382072
2020-08-28,1187.000000,1197.000000,1156.000000,1165.449951,1154.938354,337484
2020-08-31,1172.000000,1176.000000,1081.849976,1103.599976,1093.646240,162583
2020-09-01,1091.050049,1146.949951,1091.050049,1127.750000,1117.578369,675909
2020-09-02,1136.949951,1154.050049,1125.000000,1144.849976,1134.524170,268506
2020-09-03,1150.000000,1191.000000,1137.849976,1184.949951,1174.262451,267727
2020-09-04,1158.300049,1174.849976,1140.000000,1143.949951,1133.632202,315301
2020-09-07,1154.000000,1164.900024,1135.000000,1148.849976,1138.488037,128042
2020-09-08,1156.300049,1178.949951,1122.099976,1136.500000,1126.249512,306760
2020-09-09,1136.400024,1149.699951,1113.000000,1142.900024,1132.591797,132644
2020-09-10,1155.000000,1164.000000,1142.449951,1148.900024,1138.537720,538954
2020-09-11,1154.000000,1165.000000,1139.599976,1154.349976,1143.938477,308892
2020-09-14,1185.000000,1297.699951,1175.000000,1256.699951,1245.365356,1344897
2020-09-15,1260.000000,1349.000000,1260.000000,1330.150024,1318.152954,990019
2020-09-16,1321.150024,1325.300049,1272.900024,1298.250000,1286.540649,816882
2020-09-17,1295.000000,1368.699951,1274.199951,1353.650024,1341.440918,1197965
2020-09-18,1341.000000,1414.000000,1328.050049,1397.449951,1384.845825,521433
2020-09-21,1385.000000,1407.699951,1365.000000,1384.349976,1371.864014,741605
2020-09-22,1381.449951,1384.150024,1305.000000,1365.750000,1353.431763,609852
2020-09-23,1386.250000,1419.849976,1372.550049,1384.099976,1371.616211,402849
2020-09-24,1360.000000,1370.000000,1244.150024,1265.150024,1253.739136,714381
2020-09-25,1288.000000,1307.900024,1252.000000,1271.699951,1260.229980,472939
2020-09-28,1291.400024,1380.000000,1281.699951,1350.500000,1338.319336,354543
2020-09-29,1345.550049,1350.050049,1291.599976,1317.599976,1305.716064,470562
2020-09-30,1328.000000,1399.400024,1290.000000,1383.449951,1370.972046,362585
2020-10-01,1391.000000,1404.900024,1345.000000,1356.900024,1344.661621,263804
2020-10-05,1350.500000,1385.000000,1330.000000,1342.349976,1330.242798,390893
2020-10-06,1360.750000,1368.000000,1326.949951,1351.699951,1339.508423,332308
2020-10-07,1358.599976,1375.000000,1324.150024,1338.650024,1326.576294,302037
2020-10-08,1359.949951,1454.000000,1359.949951,1414.400024,1401.643066,1436214
2020-10-09,1410.000000,1411.000000,1375.000000,1383.650024,1371.170410,296415
2020-10-12,1384.199951,1440.900024,1357.199951,1395.800049,1383.210815,418273
2020-10-13,1399.000000,1428.000000,1384.650024,1403.900024,1391.237671,1002570
2020-10-14,1412.000000,1464.800049,1412.000000,1425.800049,1412.940186,921494
2020-10-15,1421.000000,1444.949951,1356.000000,1402.150024,1389.503540,522508
2020-10-16,1403.050049,1409.000000,1300.000000,1340.750000,1328.657227,878654
2020-10-19,1343.000000,1350.000000,1299.599976,1301.900024,1290.157715,579092
2020-10-20,1315.000000,1337.599976,1308.050049,1314.699951,1302.842163,302342
2020-10-21,1320.000000,1341.500000,1285.949951,1301.300049,1289.563110,214352
2020-10-22,1313.949951,1367.500000,1302.000000,1349.900024,1337.724731,596775
2020-10-23,1400.000000,1413.000000,1375.000000,1382.050049,1369.584839,759788
2020-10-26,1370.000000,1379.000000,1350.150024,1356.300049,1344.067017,168131
2020-10-27,1369.599976,1391.449951,1356.000000,1358.750000,1346.494873,350839
2020-10-28,1366.699951,1376.000000,1322.000000,1341.099976,1329.004150,222114
2020-10-29,1334.000000,1384.900024,1314.949951,1328.550049,1316.567383,247696
2020-10-30,1335.900024,1389.300049,1335.849976,1378.699951,1366.264893,423393
2020-11-02,1390.000000,1390.000000,1345.599976,1358.650024,1346.395874,174298
2020-11-03,1360.000000,1378.800049,1351.000000,1361.099976,1348.823730,235874
2020-11-04,1369.000000,1404.800049,1355.349976,1372.900024,1360.517334,227574
2020-11-05,1390.000000,1395.250000,1354.900024,1363.199951,1350.904785,142940
2020-11-06,1360.000000,1376.349976,1326.900024,1335.199951,1323.157227,175626
2020-11-09,1350.699951,1364.000000,1330.849976,1336.199951,1324.148315,175924
2020-11-10,1349.000000,1349.000000,1281.099976,1310.199951,1298.382813,333616
2020-11-11,1301.050049,1323.949951,1300.000000,1310.099976,1298.283691,254322
2020-11-12,1316.550049,1358.000000,1310.150024,1343.500000,1331.382446,228533
2020-11-13,1348.800049,1351.099976,1307.550049,1315.000000,1303.139526,356873
2020-11-14,1320.250000,1334.000000,1320.250000,1326.099976,1314.139404,21577
2020-11-17,1333.000000,1333.000000,1307.099976,1314.150024,1302.297241,328612
2020-11-18,1314.150024,1319.000000,1300.099976,1311.500000,1299.671143,252599
2020-11-19,1311.000000,1311.000000,1296.000000,1300.750000,1289.018066,333064
2020-11-20,1340.000000,1341.750000,1304.500000,1315.349976,1303.486328,371084
2020-11-23,1345.000000,1345.000000,1293.000000,1315.300049,1303.436890,562622
2020-11-24,1327.949951,1339.000000,1311.300049,1334.900024,1322.860107,329490
2020-11-25,1341.099976,1357.900024,1320.000000,1325.650024,1313.693481,317410
