Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,70290.000000,70600.000000,69781.000000,70309.351563,70143.609375,7624
2020-01-28,70585.000000,70999.953125,69342.046875,69864.703125,69700.015625,5883
2020-01-29,70090.000000,70600.000000,70000.000000,70372.546875,70206.656250,4712
2020-01-30,70539.000000,70600.000000,69501.000000,69818.601563,69654.023438,6362
2020-01-31,69849.000000,70600.000000,69318.203125,69674.750000,69510.515625,4805
2020-02-03,68690.000000,69888.000000,68000.000000,69462.648438,69298.914063,6669
2020-02-04,69650.000000,71899.000000,69650.000000,71680.148438,71511.171875,12327
2020-02-05,71680.148438,73565.703125,71680.148438,72390.796875,72220.148438,10788
2020-02-06,72599.000000,73100.000000,71260.000000,71636.351563,71467.492188,5926
2020-02-07,71899.000000,71900.000000,70371.250000,70960.453125,70793.179688,5974
2020-02-10,71490.000000,73500.000000,69800.000000,73247.898438,73075.234375,29310
2020-02-11,73200.000000,73500.000000,71111.000000,71381.703125,71213.445313,13405
2020-02-12,71755.000000,72809.296875,71400.000000,71675.953125,71506.992188,5903
2020-02-13,71967.000000,71967.000000,70901.101563,71525.148438,71356.554688,5184
2020-02-14,71800.000000,72519.203125,71100.000000,71799.203125,71629.953125,7017
2020-02-17,71800.000000,72333.000000,71200.000000,71299.796875,71131.726563,3950
2020-02-18,71500.000000,71500.000000,69525.000000,69693.601563,69532.250000,9604
2020-02-19,70290.000000,70437.148438,69500.000000,69959.296875,69797.320313,5731
2020-02-20,69959.296875,71232.601563,69751.101563,70789.500000,70625.601563,8466
2020-02-24,70888.000000,70888.000000,68500.148438,68874.703125,68715.242188,4295
2020-02-25,69100.000000,69798.898438,68500.000000,69133.453125,68973.382813,6211
2020-02-26,69134.000000,69403.953125,67850.000000,68140.000000,67982.242188,5155
2020-02-27,68180.000000,68339.953125,66730.703125,67559.453125,67403.039063,6856
2020-02-28,66400.000000,67296.648438,65315.000000,66393.203125,66239.492188,11768
2020-03-02,66891.000000,67595.898438,65551.000000,65976.296875,65823.554688,6419
2020-03-03,66799.000000,68558.351563,65600.000000,67740.703125,67583.867188,8202
2020-03-04,67270.000000,67698.796875,66100.000000,67053.351563,66898.109375,8187
2020-03-05,67300.046875,68169.898438,66809.500000,67325.148438,67169.281250,5745
2020-03-06,66389.000000,66500.203125,63858.550781,66348.148438,66194.539063,9851
2020-03-09,65800.000000,65800.000000,63052.449219,64261.851563,64113.066406,9596
2020-03-11,64200.000000,65687.296875,62703.000000,63589.851563,63442.625000,15621
2020-03-12,62001.000000,62888.199219,58000.000000,60555.250000,60415.054688,17336
2020-03-13,56030.000000,66300.000000,56030.000000,65929.351563,65776.710938,15213
2020-03-16,62000.000000,63899.851563,60309.050781,61295.050781,61153.140625,11325
2020-03-17,61295.050781,63749.800781,60350.050781,62140.699219,61996.824219,14677
2020-03-18,62899.949219,63395.101563,59200.000000,59921.148438,59782.414063,12224
