Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,638.000000,647.950012,620.549988,624.700012,614.955505,159999
2020-02-04,625.950012,637.599976,624.750000,626.049988,616.284424,62250
2020-02-05,630.849976,650.000000,626.049988,645.150024,635.086670,482168
2020-02-06,651.000000,652.150024,637.549988,643.950012,633.905273,82249
2020-02-07,644.000000,719.000000,644.000000,700.849976,689.917603,511548
2020-02-10,711.049988,738.099976,695.099976,717.650024,706.455566,735852
2020-02-11,720.000000,724.000000,701.299988,715.450012,704.289917,211393
2020-02-12,711.049988,717.000000,690.200012,708.750000,697.694397,202570
2020-02-13,670.000000,677.599976,655.000000,673.950012,663.437256,902637
2020-02-14,675.000000,684.299988,668.200012,676.599976,666.045837,209254
2020-02-17,679.049988,684.950012,663.849976,665.849976,655.463562,88358
2020-02-18,660.150024,665.000000,634.099976,636.349976,626.423706,149956
2020-02-19,638.349976,666.000000,637.000000,644.700012,634.643616,239207
2020-02-20,640.049988,674.400024,640.049988,662.650024,652.313599,159092
2020-02-24,650.099976,664.900024,638.000000,642.049988,635.390747,75646
2020-02-25,642.000000,650.150024,627.099976,635.049988,628.463379,82442
2020-02-26,630.000000,635.349976,621.099976,623.500000,617.033264,74548
2020-02-27,623.500000,628.000000,595.349976,605.549988,599.269348,186528
2020-02-28,595.000000,606.000000,586.450012,601.650024,595.409912,177956
2020-03-02,596.099976,610.750000,595.250000,602.849976,596.597473,117367
2020-03-03,609.900024,625.000000,598.049988,618.500000,612.085083,110403
2020-03-04,608.049988,633.150024,605.200012,616.450012,610.056335,145278
2020-03-05,612.099976,624.000000,606.150024,609.299988,602.980469,79253
2020-03-06,598.000000,605.000000,571.299988,601.700012,595.459351,132382
2020-03-09,599.000000,607.049988,555.000000,572.000000,566.067383,225032
2020-03-11,568.700012,595.000000,560.900024,588.200012,582.099365,193977
2020-03-12,555.000000,576.700012,538.000000,547.900024,542.217346,453865
2020-03-13,475.000000,580.000000,450.000000,562.000000,556.171143,260064
2020-03-16,559.900024,570.799988,531.049988,560.799988,554.983582,224540
2020-03-17,565.000000,568.799988,514.049988,544.150024,538.506226,199447
2020-03-18,544.150024,554.000000,510.000000,519.150024,513.765564,165925
2020-03-19,480.000000,514.900024,465.000000,505.450012,500.207642,188836
2020-03-20,510.100006,554.299988,510.100006,534.000000,528.461548,206904
2020-03-23,509.000000,520.000000,432.000000,473.799988,468.885895,165915
2020-03-24,490.000000,500.000000,458.500000,471.250000,466.362305,187309
2020-03-25,472.000000,490.000000,402.549988,465.750000,460.919403,153544
2020-03-26,469.899994,498.000000,462.399994,477.049988,472.102173,145683
2020-03-27,472.049988,508.899994,472.049988,496.350006,491.202026,128869
2020-03-30,489.000000,510.000000,473.450012,494.799988,489.668091,120646
2020-03-31,527.000000,527.000000,490.149994,505.549988,500.306580,101021
2020-04-01,509.500000,509.500000,491.000000,496.250000,491.103058,46100
2020-04-03,508.000000,545.000000,495.000000,516.500000,511.143005,453810
2020-04-07,553.799988,572.450012,535.000000,566.750000,560.871887,607741
2020-04-08,579.900024,619.000000,542.000000,575.200012,569.234192,288041
2020-04-09,605.500000,605.500000,573.000000,585.250000,579.180054,408401
2020-04-13,596.000000,640.000000,592.950012,607.849976,601.545471,1230450
2020-04-15,620.900024,642.500000,588.000000,597.099976,590.907043,1251999
2020-04-16,590.049988,625.000000,581.900024,617.500000,611.095520,327964
2020-04-17,632.000000,632.400024,611.349976,616.000000,609.610962,247388
2020-04-20,623.400024,627.400024,603.049988,616.299988,609.907898,138218
2020-04-21,605.000000,644.000000,597.000000,616.650024,610.254272,805037
2020-04-22,610.200012,623.650024,604.799988,608.500000,602.188843,153609
2020-04-23,609.049988,627.500000,609.049988,616.799988,610.402710,275330
2020-04-24,609.900024,642.000000,607.000000,624.799988,618.319824,454238
2020-04-27,655.000000,665.000000,627.299988,630.700012,624.158569,890378
2020-04-28,632.500000,641.000000,621.000000,623.599976,617.132263,500780
