Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,22416.099609,23354.000000,22410.050781,23267.500000,23113.150391,19173
2020-02-04,23400.000000,24659.300781,23303.199219,24485.400391,24322.970703,46295
2020-02-05,24412.050781,25290.000000,24412.050781,24893.449219,24728.312500,65213
2020-02-06,25048.000000,25274.949219,24750.250000,25012.699219,24846.773438,35930
2020-02-07,25020.050781,25355.000000,24700.000000,24918.150391,24752.849609,15201
2020-02-10,25000.000000,25149.250000,24820.500000,24961.650391,24796.060547,33336
2020-02-11,25050.000000,25240.449219,24694.300781,24813.449219,24648.843750,9352
2020-02-12,24981.000000,25146.000000,24441.000000,24689.949219,24526.164063,15946
2020-02-13,24700.000000,24893.199219,24456.300781,24616.099609,24452.802734,15155
2020-02-14,24750.000000,24913.050781,24178.650391,24433.599609,24271.513672,44419
2020-02-17,24320.000000,24445.500000,23955.000000,24028.050781,23868.656250,14630
2020-02-18,24000.000000,24000.000000,23300.750000,23777.250000,23619.517578,39818
2020-02-19,24850.000000,25199.900391,24316.800781,24533.250000,24370.503906,156489
2020-02-20,24400.000000,24791.650391,24270.650391,24407.400391,24245.488281,32057
2020-02-24,24100.000000,24576.099609,23684.050781,23831.599609,23780.683594,29338
2020-02-25,23831.599609,23999.000000,23478.050781,23572.050781,23521.687500,38362
2020-02-26,23488.849609,23597.300781,23153.099609,23465.150391,23415.015625,34970
2020-02-27,23549.000000,23927.300781,23136.800781,23812.550781,23761.673828,80008
2020-02-28,23400.000000,23729.000000,22463.949219,22670.949219,22622.511719,91009
2020-03-02,22810.000000,23427.949219,22800.349609,23042.000000,22992.769531,58063
2020-03-03,23299.949219,23844.949219,23050.000000,23593.150391,23542.742188,28737
2020-03-04,23799.000000,23896.500000,22801.000000,23256.000000,23206.312500,44423
2020-03-05,23283.000000,23581.300781,23001.000000,23066.199219,23016.917969,43550
2020-03-06,22799.900391,23300.000000,22502.000000,23110.449219,23061.072266,34236
2020-03-09,23000.500000,23000.949219,21712.000000,21860.150391,21813.445313,62959
2020-03-11,21780.000000,22303.949219,21578.199219,21894.900391,21848.121094,50666
2020-03-12,21006.150391,21540.000000,20128.150391,20273.500000,20230.185547,81474
2020-03-13,19100.500000,21613.000000,18250.500000,21308.199219,21262.673828,65294
2020-03-16,20405.000000,21388.000000,18550.000000,20158.050781,20114.982422,124718
2020-03-17,19905.050781,20796.000000,19350.000000,20005.500000,19962.757813,61210
2020-03-18,20299.000000,20600.000000,18100.000000,19293.949219,19252.726563,447921
2020-03-19,17990.000000,19458.000000,16399.900391,17731.449219,17693.566406,130151
2020-03-20,17385.000000,19186.300781,17026.750000,18903.650391,18863.261719,109690
2020-03-23,17113.000000,17579.949219,16068.150391,16959.400391,16923.166016,64085
2020-03-24,17400.000000,18180.050781,16380.450195,16980.000000,16943.722656,73476
2020-03-25,16800.000000,17947.349609,16551.449219,17438.250000,17400.992188,43063
2020-03-26,17450.000000,18050.000000,17107.599609,17554.050781,17516.546875,68024
2020-03-27,17800.000000,18569.599609,16836.050781,17666.250000,17628.505859,56733
2020-03-30,17000.000000,17600.000000,16100.650391,16935.449219,16899.265625,61908
2020-03-31,17274.150391,17716.900391,16917.000000,17546.349609,17508.861328,51027
2020-04-01,17500.000000,17546.300781,16500.000000,16549.650391,16514.291016,48939
2020-04-03,16661.199219,16698.449219,15410.000000,15783.799805,15750.077148,77720
2020-04-07,16090.000000,16850.000000,15882.150391,16634.550781,16599.009766,92287
2020-04-08,16351.150391,17031.000000,15918.799805,16063.950195,16029.628906,122750
2020-04-09,16208.000000,17010.000000,16135.000000,16935.300781,16899.117188,92983
2020-04-13,16900.000000,17801.300781,16222.299805,17301.099609,17264.134766,86675
2020-04-15,17389.050781,18547.199219,17368.000000,18138.550781,18099.796875,125808
2020-04-16,18050.199219,19348.949219,17551.250000,18928.900391,18888.458984,112627
2020-04-17,19400.000000,19731.699219,18785.400391,18946.750000,18906.269531,74780
2020-04-20,19025.000000,19338.949219,18931.349609,18996.900391,18956.312500,48069
2020-04-21,18900.000000,19000.000000,18237.199219,18828.449219,18788.222656,43173
2020-04-22,18838.449219,19620.000000,18611.949219,19217.150391,19176.091797,70880
2020-04-23,19050.000000,19175.000000,18601.050781,18707.750000,18667.781250,41912
2020-04-24,18739.000000,18927.300781,18382.550781,18587.449219,18547.736328,34410
2020-04-27,18655.000000,19200.000000,18655.000000,19021.849609,18981.208984,37871
2020-04-28,19080.000000,19394.949219,18800.050781,18865.900391,18825.593750,29420
2020-04-29,18999.000000,19250.000000,18950.349609,19171.449219,19130.488281,25467
2020-04-30,19300.000000,19890.000000,19118.449219,19767.900391,19725.666016,53649
2020-05-04,19174.000000,19304.650391,18540.000000,18625.000000,18585.207031,35572
2020-05-05,18675.500000,18899.849609,18250.000000,18512.000000,18472.449219,43081
2020-05-06,18624.949219,18930.000000,18523.550781,18741.900391,18701.857422,31793
2020-05-07,18741.900391,18884.199219,18041.949219,18432.400391,18393.019531,44718
2020-05-08,18680.000000,18879.449219,18450.099609,18732.750000,18692.726563,37689
2020-05-11,19099.000000,19299.000000,18812.750000,18914.900391,18874.488281,86212
2020-05-12,18845.250000,19232.000000,18416.500000,19127.199219,19086.333984,45807
2020-05-13,19534.949219,20309.949219,19442.449219,19763.250000,19721.025391,97463
2020-05-14,19700.000000,19928.849609,19165.099609,19310.800781,19269.542969,76779
2020-05-15,19509.900391,19563.550781,18811.500000,19180.500000,19139.519531,52718
2020-05-18,19200.000000,19239.449219,18000.000000,18152.699219,18113.916016,66740
2020-05-19,18300.000000,18820.000000,18075.000000,18340.750000,18301.564453,68436
2020-05-20,18351.050781,20150.449219,18351.050781,19411.650391,19370.177734,95883
2020-05-21,19156.000000,19349.599609,18750.000000,19251.150391,19210.019531,83398
2020-05-22,19019.000000,20079.949219,18803.199219,19910.250000,19867.710938,97537
2020-05-26,19810.099609,20759.949219,19700.000000,20667.300781,20623.144531,115382
2020-05-27,20702.750000,20900.000000,20300.000000,20477.550781,20433.800781,81015
2020-05-28,20649.000000,21163.349609,20260.800781,20808.900391,20764.441406,77639
2020-05-29,20850.000000,21049.000000,20608.900391,20857.300781,20812.738281,76672
2020-06-01,20857.300781,21464.699219,20855.500000,21069.349609,21024.333984,74696
2020-06-02,21180.000000,21340.000000,20952.650391,21201.000000,21155.703125,42170
