Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,447.200012,452.200012,445.000000,449.850006,440.752197,1875787
2020-01-24,450.000000,452.850006,446.799988,447.799988,438.743622,2153164
2020-01-27,447.000000,451.750000,442.200012,448.399994,439.331482,3530914
2020-01-28,448.250000,462.500000,448.049988,452.899994,443.740509,9487290
2020-01-29,454.850006,456.750000,449.450012,450.100006,440.997131,3103817
2020-01-30,451.500000,453.750000,440.299988,442.100006,433.158966,3486193
2020-01-31,442.600006,445.399994,432.649994,434.299988,425.516663,3757229
2020-02-03,423.799988,428.899994,414.000000,417.549988,409.105438,4032780
2020-02-04,416.950012,426.899994,412.850006,425.649994,417.041595,4848610
2020-02-05,429.500000,431.399994,421.899994,426.250000,417.629486,3826307
2020-02-06,428.200012,438.000000,424.000000,430.649994,421.940491,7745520
2020-02-07,432.000000,441.750000,423.200012,430.799988,422.087463,7402556
2020-02-10,428.549988,432.750000,418.299988,420.299988,411.799805,3638523
2020-02-11,422.000000,424.700012,416.799988,418.549988,410.085205,4683072
2020-02-12,418.799988,421.299988,414.000000,414.600006,406.215118,4439987
2020-02-13,414.600006,420.100006,412.000000,418.950012,410.477142,3924569
2020-02-14,420.000000,424.750000,416.500000,418.549988,410.085205,2862205
2020-02-17,416.200012,418.500000,407.299988,408.399994,403.029205,2625157
2020-02-18,407.000000,410.850006,399.049988,408.649994,403.275909,4187206
2020-02-19,410.399994,414.200012,400.600006,403.549988,398.242981,5910512
2020-02-20,403.850006,411.500000,403.549988,404.950012,399.624603,4000525
2020-02-24,406.500000,414.649994,395.799988,397.850006,392.617981,12668574
2020-02-25,402.399994,402.399994,385.299988,388.899994,383.785675,10050971
2020-02-26,385.100006,386.950012,372.500000,374.700012,369.772400,12146582
2020-02-27,375.000000,390.700012,369.450012,388.500000,383.390930,15164166
2020-02-28,379.649994,385.600006,371.100006,372.899994,367.996063,8439591
2020-03-02,378.000000,383.649994,363.350006,369.500000,364.640778,6915567
2020-03-03,374.000000,396.399994,373.250000,393.549988,388.374481,14474553
2020-03-04,398.000000,412.899994,387.350006,405.450012,400.118011,26369149
2020-03-05,409.950012,414.799988,401.750000,404.899994,399.575256,9874059
2020-03-06,390.049988,403.200012,390.049988,400.899994,395.627869,6500912
2020-03-09,396.049988,403.899994,385.549988,393.350006,388.177155,13151861
2020-03-11,394.399994,395.250000,380.049988,385.950012,380.874481,9127352
2020-03-12,365.500000,372.700012,346.399994,354.799988,350.134094,11662910
2020-03-13,341.000000,402.950012,325.000000,384.200012,379.147522,15802632
2020-03-16,376.000000,396.399994,362.799988,368.549988,363.703278,14480298
2020-03-17,376.000000,395.600006,364.200012,370.149994,365.282227,12903597
2020-03-18,383.399994,386.399994,355.100006,362.750000,357.979553,12342300
2020-03-19,351.700012,374.450012,347.649994,360.399994,355.660461,8728092
2020-03-20,365.200012,379.500000,362.200012,365.250000,360.446655,10630619
2020-03-23,345.000000,354.700012,315.049988,324.500000,320.232574,8018903
2020-03-24,330.000000,348.000000,330.000000,335.149994,330.742493,6408582
2020-03-25,332.000000,350.799988,329.549988,347.649994,343.078125,6174391
2020-03-26,365.000000,368.000000,336.100006,338.299988,333.851074,11670467
2020-03-27,347.000000,352.500000,333.000000,338.250000,333.801758,7745135
2020-03-30,321.649994,344.000000,312.000000,332.700012,328.324738,11648241
2020-03-31,340.100006,355.000000,328.250000,352.299988,347.666962,9954142
2020-04-01,353.000000,355.250000,338.399994,343.549988,339.032043,6702159
2020-04-03,343.950012,389.799988,340.000000,375.950012,371.005981,28550430
2020-04-07,398.000000,422.850006,388.299988,417.350006,411.861511,29675052
2020-04-08,419.000000,448.750000,413.149994,436.700012,430.957062,27810872
2020-04-09,454.399994,473.899994,443.399994,454.450012,448.473663,31862948
2020-04-13,462.950012,477.899994,443.100006,462.350006,456.269745,30510226
2020-04-15,474.899994,488.500000,444.100006,449.200012,443.292694,32508955
2020-04-16,450.000000,467.600006,449.200012,463.700012,457.602020,16932965
2020-04-17,476.950012,476.950012,448.450012,457.100006,451.088776,19774082
2020-04-20,457.350006,475.000000,450.549988,473.399994,467.174438,17893064
2020-04-21,467.850006,490.700012,464.250000,473.149994,466.927673,30021752
2020-04-22,474.950012,482.399994,469.000000,474.350006,468.111908,13336137
2020-04-23,476.950012,487.850006,474.350006,477.450012,471.171173,13748820
2020-04-24,476.950012,497.000000,473.549988,485.549988,479.164642,23394027
2020-04-27,491.000000,504.799988,487.000000,489.899994,483.457428,19310626
2020-04-28,495.000000,495.399994,470.299988,473.950012,467.717194,12847910
2020-04-29,476.000000,484.950012,473.149994,477.649994,471.368530,10166496
2020-04-30,484.000000,485.000000,458.399994,464.450012,458.342133,18471206
2020-05-04,464.450012,474.500000,458.000000,465.450012,459.328979,16097066
2020-05-05,469.799988,472.500000,454.000000,456.299988,450.299316,7850482
2020-05-06,459.600006,463.000000,448.000000,454.399994,448.424286,10829910
2020-05-07,462.000000,465.700012,450.200012,452.200012,446.253235,11216033
2020-05-08,460.000000,471.399994,454.049988,469.000000,462.832275,13693803
2020-05-11,473.700012,475.549988,461.299988,463.850006,457.750031,10294818
2020-05-12,465.000000,468.799988,455.299988,463.899994,457.799316,9507971
2020-05-13,469.000000,469.450012,450.200012,452.350006,446.401245,10010310
2020-05-14,453.000000,462.950012,448.799988,455.950012,449.953918,11764703
2020-05-15,455.950012,458.899994,445.549988,448.600006,442.700562,7863358
2020-05-18,447.000000,454.600006,434.250000,440.700012,434.904480,9067298
2020-05-19,443.799988,456.000000,438.600006,441.700012,435.891296,10126393
2020-05-20,439.899994,458.450012,437.250000,455.750000,449.756531,7967084
2020-05-21,455.500000,469.000000,453.000000,466.450012,460.315826,8987658
2020-05-22,467.000000,471.899994,458.049988,469.399994,463.227020,10194204
2020-05-26,471.000000,475.500000,457.000000,459.149994,453.111816,9801056
2020-05-27,464.899994,464.899994,443.399994,450.899994,444.970306,13253937
2020-05-28,453.899994,461.649994,444.700012,459.100006,453.062500,12632972
2020-05-29,460.000000,481.600006,458.000000,474.250000,468.013245,12662824
2020-06-01,483.500000,483.700012,458.299988,465.399994,459.279633,18563612
2020-06-02,470.000000,481.000000,468.149994,473.100006,466.878357,10978049
2020-06-03,474.950012,481.600006,473.000000,476.149994,469.888245,7767457
2020-06-04,473.000000,498.000000,472.100006,494.850006,488.342346,19100026
2020-06-05,501.000000,511.000000,492.200012,494.250000,487.750214,22798341
2020-06-08,498.750000,498.750000,485.049988,489.000000,482.569275,9176155
2020-06-09,492.000000,512.700012,492.000000,500.750000,494.164764,25883378
2020-06-10,502.500000,507.000000,493.549988,499.149994,492.585785,10636465
2020-06-11,490.000000,493.799988,469.100006,473.649994,467.421143,18547382
2020-06-12,455.000000,481.899994,455.000000,480.100006,473.786316,11498488
2020-06-15,481.000000,489.399994,472.700012,485.799988,479.411316,10727187
2020-06-16,489.399994,493.500000,476.500000,483.399994,477.042938,11247556
