Date,Open,High,Low,Close,Adj Close,Volume
2020-01-17,589.950012,597.349976,585.900024,589.250000,575.183350,1813763
2020-01-20,590.000000,590.849976,580.549988,584.599976,570.644348,2425877
2020-01-21,582.799988,582.799988,572.200012,577.700012,563.909119,4789489
2020-01-22,582.849976,582.849976,553.400024,562.950012,549.511230,7453773
2020-01-23,560.000000,564.549988,540.299988,542.200012,529.256531,4533870
2020-01-24,541.000000,564.500000,541.000000,543.299988,530.330261,8132638
2020-01-27,545.400024,550.099976,535.000000,537.250000,524.424683,4285510
2020-01-28,538.250000,548.000000,533.200012,536.950012,524.131897,4042406
2020-01-29,543.900024,545.900024,537.049988,542.150024,529.207764,2182366
2020-01-30,541.950012,551.349976,539.099976,544.150024,531.160034,3514667
2020-01-31,547.450012,549.000000,525.000000,526.549988,513.980103,4340034
2020-02-03,506.750000,517.500000,505.000000,513.299988,501.046417,3012267
2020-02-04,516.950012,525.950012,515.000000,522.599976,510.124420,2253175
2020-02-05,525.099976,542.299988,521.549988,537.450012,524.619934,3105094
2020-02-06,537.049988,545.200012,533.599976,536.849976,524.034241,2052126
2020-02-07,539.000000,555.450012,538.299988,543.099976,530.135010,5702296
2020-02-10,570.299988,579.599976,555.700012,574.099976,560.394958,15352223
2020-02-11,574.400024,584.799988,569.900024,576.650024,562.884155,5097454
2020-02-12,578.450012,583.000000,570.450012,573.900024,560.199829,3277025
2020-02-13,572.000000,582.900024,562.900024,578.750000,564.933960,2902199
2020-02-14,579.599976,601.400024,578.099976,591.650024,577.526062,6213486
2020-02-17,593.000000,599.799988,591.150024,595.000000,580.796082,2418399
2020-02-18,592.000000,592.000000,574.000000,585.200012,571.230042,2972328
2020-02-19,589.900024,593.849976,581.299988,585.200012,571.230042,2843587
2020-02-20,586.000000,596.250000,580.700012,584.349976,570.400330,1802988
2020-02-24,586.950012,590.750000,570.099976,573.250000,559.565308,1975289
2020-02-25,573.299988,577.650024,562.099976,566.349976,552.830017,2912488
2020-02-26,565.799988,569.799988,556.000000,563.000000,549.559998,2885119
2020-02-27,561.549988,561.549988,548.849976,550.849976,537.700012,1668088
2020-02-28,543.000000,546.599976,514.000000,519.700012,507.293701,2974535
2020-03-02,527.000000,541.599976,509.600006,514.349976,502.071350,1907596
2020-03-03,519.900024,526.650024,512.549988,521.549988,509.099487,2499968
2020-03-04,525.000000,533.599976,498.100006,511.600006,499.387024,4037644
2020-03-05,518.900024,529.000000,513.000000,516.049988,503.730774,2794208
2020-03-06,499.000000,516.849976,491.350006,513.599976,501.339264,3567046
2020-03-09,504.649994,519.900024,494.649994,513.000000,500.753601,4467786
2020-03-11,498.549988,523.450012,497.600006,516.950012,504.609314,5659070
2020-03-12,504.549988,520.400024,434.799988,443.600006,433.010345,8132990
2020-03-13,428.000000,438.000000,377.100006,410.850006,401.042145,9711669
2020-03-16,392.299988,394.950012,373.500000,376.799988,367.804962,5282490
2020-03-17,370.000000,379.950012,343.100006,350.850006,342.474487,9227845
2020-03-18,360.000000,363.950012,314.600006,321.850006,314.166779,5545759
2020-03-19,301.200012,313.299988,293.000000,296.750000,289.665924,7227403
2020-03-20,294.000000,320.649994,287.000000,300.149994,292.984772,7465285
2020-03-23,270.149994,283.000000,240.149994,254.600006,248.522171,3029255
2020-03-24,265.500000,277.000000,249.500000,262.049988,255.794312,4168341
2020-03-25,257.000000,301.350006,252.000000,292.799988,285.810242,3838980
2020-03-26,298.000000,330.799988,290.200012,312.549988,305.088745,5887818
2020-03-27,327.600006,336.000000,315.299988,322.200012,314.508423,4833123
2020-03-30,317.200012,317.200012,293.700012,308.450012,301.086639,3121310
2020-03-31,315.450012,331.750000,309.250000,326.500000,318.705750,2779879
2020-04-01,328.500000,328.500000,303.000000,305.750000,298.451080,2681565
2020-04-03,306.149994,307.500000,295.000000,298.100006,290.983734,3265474
2020-04-07,311.000000,326.000000,307.149994,323.649994,315.923798,3624533
2020-04-08,320.000000,337.500000,316.450012,320.200012,312.556152,4632236
2020-04-09,330.000000,332.399994,312.750000,319.000000,311.384796,4690937
2020-04-13,321.000000,334.200012,316.500000,324.950012,317.192780,4850246
2020-04-15,329.950012,381.750000,329.899994,350.549988,342.181641,22250797
2020-04-16,356.000000,369.000000,356.000000,363.200012,354.529663,10132539
2020-04-17,376.549988,379.000000,358.250000,363.299988,354.627258,5328193
2020-04-20,369.799988,369.799988,352.799988,354.750000,346.281372,4741085
2020-04-21,348.700012,352.899994,343.049988,345.950012,337.691467,2817261
2020-04-22,345.000000,359.000000,336.200012,353.649994,345.207611,4105520
2020-04-23,359.899994,366.399994,345.700012,348.899994,340.571014,5687657
2020-04-24,345.000000,347.600006,334.200012,335.850006,327.832550,2736041
2020-04-27,343.399994,355.700012,340.500000,349.350006,341.010254,4557197
2020-04-28,361.950012,369.950012,357.049988,360.500000,351.894104,7805452
2020-04-29,363.950012,364.399994,354.350006,360.600006,351.991730,2823791
2020-04-30,367.250000,429.350006,364.049988,420.049988,410.022491,18223977
2020-05-04,394.850006,419.500000,381.350006,385.399994,376.199677,10395293
2020-05-05,395.000000,408.000000,385.000000,387.049988,377.810303,11636689
2020-05-06,392.950012,392.950012,373.000000,379.000000,369.952454,7610739
2020-05-07,378.000000,383.899994,366.299988,368.399994,359.605499,4313383
2020-05-08,373.450012,375.799988,363.000000,364.600006,355.896240,3281665
2020-05-11,367.000000,378.600006,366.500000,368.100006,359.312683,3903903
2020-05-12,368.500000,382.450012,363.899994,374.549988,365.608673,9371378
2020-05-13,398.200012,398.799988,380.600006,389.649994,380.348236,7474549
2020-05-14,386.500000,396.000000,376.100006,391.850006,382.495728,7302564
2020-05-15,393.700012,393.700012,377.450012,378.899994,369.854828,3690162
2020-05-18,381.399994,384.700012,365.399994,375.799988,366.828857,5496838
2020-05-19,380.649994,380.649994,338.250000,339.649994,331.541809,18772182
2020-05-20,339.049988,358.600006,336.000000,356.549988,348.038391,16718256
2020-05-21,359.649994,370.000000,356.350006,366.799988,358.043701,10088405
2020-05-22,366.750000,373.899994,362.700012,371.149994,362.289856,8545206
2020-05-26,376.950012,386.450012,365.649994,367.049988,358.287750,14906268
2020-05-27,370.500000,390.000000,367.049988,387.799988,378.542389,15176090
2020-05-28,394.200012,398.899994,388.200012,391.100006,381.763641,9297617
2020-05-29,392.549988,419.750000,388.399994,405.850006,396.161499,22299690
2020-06-01,411.000000,423.000000,410.750000,419.299988,409.290405,7782162
2020-06-02,420.100006,428.950012,414.700012,424.700012,414.561493,6847511
2020-06-03,428.950012,433.799988,417.000000,419.100006,409.095215,7203375
2020-06-04,419.899994,432.950012,418.000000,422.049988,411.974762,5729522
2020-06-05,425.250000,445.950012,423.549988,439.399994,428.910583,12315930
2020-06-08,449.000000,449.700012,433.500000,436.799988,426.372650,4520947
2020-06-09,443.950012,445.000000,428.149994,430.600006,420.320679,4047481
2020-06-10,432.100006,435.549988,421.000000,425.000000,414.854340,4333713
2020-06-11,430.700012,434.250000,415.450012,417.450012,407.484589,3873603
2020-06-12,402.000000,415.200012,400.049988,411.649994,401.823029,4994437
2020-06-15,405.649994,411.000000,398.049988,405.000000,395.331787,4693720
2020-06-16,416.000000,429.399994,410.000000,414.250000,404.360962,10359268
2020-06-17,419.799988,424.000000,409.000000,420.799988,410.754608,6081250
2020-06-18,422.850006,431.899994,422.399994,427.899994,417.685120,5639475
2020-06-19,427.950012,439.549988,427.500000,436.899994,426.470276,6059311
2020-06-22,436.950012,448.399994,432.100006,446.200012,435.548279,4989998
2020-06-23,453.000000,469.100006,452.750000,463.100006,452.044800,7872909
2020-06-24,466.850006,470.000000,441.000000,444.950012,434.328094,3907871
2020-06-25,438.149994,454.700012,437.450012,442.899994,432.327026,3982270
2020-06-26,450.000000,450.850006,438.649994,440.250000,429.740295,2128146
2020-06-29,440.000000,440.250000,429.149994,431.899994,421.589630,2317342
2020-06-30,435.000000,446.450012,422.000000,425.200012,415.049591,5184094
2020-07-01,430.899994,449.000000,429.000000,446.950012,436.280365,8180122
2020-07-02,451.350006,453.750000,440.350006,442.450012,431.887787,3806615
2020-07-03,445.200012,452.950012,442.399994,444.200012,433.596008,3812085
2020-07-06,447.000000,460.399994,446.299988,456.600006,445.700012,4256802
2020-07-07,457.899994,457.899994,448.100006,450.950012,440.184875,3664371
2020-07-08,459.850006,464.000000,441.250000,444.000000,433.400787,8686804
2020-07-09,447.000000,447.899994,437.149994,442.549988,431.985382,5160583
2020-07-10,444.000000,452.000000,433.500000,436.500000,426.079834,5805444
2020-07-13,440.000000,444.950012,435.500000,439.200012,428.715393,2480373
2020-07-14,439.950012,444.500000,429.100006,437.500000,427.055939,4214233
2020-07-15,441.750000,442.850006,430.450012,437.549988,427.104736,4334472
2020-07-16,440.549988,441.750000,423.549988,433.450012,423.102631,4189313
2020-07-17,435.000000,442.350006,433.000000,436.450012,426.031036,3644124
2020-07-20,440.000000,456.000000,439.299988,453.649994,442.820404,9435204
2020-07-21,457.299988,462.799988,450.350006,458.399994,447.457001,6154181
2020-07-22,460.000000,464.500000,447.700012,460.250000,449.262848,4431710
2020-07-23,461.000000,478.000000,459.000000,462.750000,451.703186,9426775
2020-07-24,461.000000,461.000000,444.100006,454.149994,443.308472,4058564
2020-07-27,455.799988,457.000000,440.250000,445.799988,435.157806,2974232
2020-07-28,446.399994,451.950012,441.500000,448.950012,438.232635,4626424
2020-07-29,449.500000,464.100006,449.049988,461.750000,450.727051,7119586
2020-07-30,464.950012,471.500000,461.450012,464.600006,453.509033,6219364
2020-07-31,467.850006,486.000000,460.250000,478.149994,466.735535,11062522
2020-08-03,484.000000,484.899994,445.200012,452.149994,441.356201,14443397
2020-08-04,455.850006,464.350006,454.000000,461.700012,450.678253,6194269
2020-08-05,462.000000,467.700012,452.299988,453.600006,442.771606,4735993
2020-08-06,452.500000,466.500000,451.600006,463.899994,452.825714,4177541
2020-08-07,465.500000,484.899994,465.500000,480.299988,468.834198,10013531
2020-08-10,483.850006,496.500000,478.450012,494.299988,482.500000,7603877
2020-08-11,496.500000,496.649994,480.000000,481.899994,470.395996,4360559
2020-08-12,481.250000,489.000000,471.049988,487.149994,475.520660,4332473
2020-08-13,487.299988,499.899994,487.299988,489.149994,477.472931,4549072
2020-08-14,494.600006,496.899994,480.850006,485.649994,474.056488,2431513
2020-08-17,489.500000,494.700012,487.750000,492.350006,480.596558,2230102
2020-08-18,492.200012,508.950012,491.850006,500.149994,488.210358,8890454
2020-08-19,499.899994,507.149994,492.500000,499.399994,493.397247,5405921
2020-08-20,494.850006,498.750000,487.250000,491.899994,485.987396,3081595
2020-08-21,496.500000,504.049988,491.000000,493.399994,487.469360,3426420
2020-08-24,496.000000,504.750000,496.000000,497.399994,491.421265,4042101
2020-08-25,499.049988,500.549988,490.200012,492.100006,486.184998,3431181
2020-08-26,492.950012,496.600006,488.350006,493.549988,487.617554,2839616
2020-08-27,493.049988,500.000000,492.500000,496.750000,490.779114,2426413
2020-08-28,500.000000,521.099976,498.299988,519.250000,513.008667,9809902
2020-08-31,524.000000,534.900024,501.000000,505.950012,499.868530,10825186
2020-09-01,505.000000,510.000000,491.250000,505.049988,498.979309,3980634
2020-09-02,505.000000,506.000000,492.700012,500.850006,494.829834,4153159
2020-09-03,505.799988,526.750000,504.250000,521.849976,515.577393,8589174
2020-09-04,514.750000,517.849976,504.549988,508.450012,502.338470,3768829
2020-09-07,509.500000,510.450012,490.799988,494.450012,488.506744,5255102
2020-09-08,497.649994,503.399994,485.000000,487.000000,481.146301,4844522
2020-09-09,482.000000,498.399994,467.049988,494.549988,488.605530,6078535
2020-09-10,497.899994,497.899994,485.000000,491.000000,485.098206,4004621
2020-09-11,492.600006,501.000000,488.100006,499.000000,493.002045,3410700
2020-09-14,507.950012,519.799988,502.000000,515.900024,509.698944,5861874
2020-09-15,518.250000,532.250000,516.049988,529.700012,523.333069,6222387
2020-09-16,530.049988,533.250000,521.950012,528.500000,522.147461,3961765
2020-09-17,524.950012,537.000000,520.299988,530.549988,524.172791,4036494
2020-09-18,530.900024,540.000000,529.049988,537.299988,530.841675,3868205
2020-09-21,537.000000,546.500000,521.849976,532.200012,525.802979,4907451
